company;drn
Vision Independent Financial Planning Ltd;DRN-3320260
Tesco Personal Finance PLC;DRN-3321795
Santander Consumer (UK) Plc;DRN-3321957
Lloyds Bank PLC;DRN-3322403
HSBC UK Bank Plc;DRN-3322508
Trading 212 Ltd;DRN-3325028
HSBC UK Bank Plc;DRN-3328779
Scottish Widows Limited;DRN-3328995
Interactive Brokers (U.K.) Limited;DRN-3330185
Options UK Personal Pensions LLP;DRN-3340132
Chubb European Group SE;DRN-3340511
Niche Independent Financial Advisers Limited;DRN-3341067
Wealth Planning Limited;DRN-3344477
HSBC UK Bank Plc;DRN-3347029
Bank of Scotland Plc;DRN-3351228
Scottish Equitable Plc;DRN-3353666
Saxo Capital Markets UK Limited;DRN-3353677
ClearBank Limited;DRN-3354771
PayPal (Europe) Sarl et Cie SCA;DRN-3356062
Capital Com (UK) Limited;DRN-3356390
St. James's Place Wealth Management Plc;DRN-3358533
deVere and Partners (UK) Limited;DRN-3360607
Ikano Bank AB (publ);DRN-3361823
PayPal (Europe) Sarl et Cie SCA;DRN-3367963
Trading 212 UK Limited;DRN-3368379
AJH Financial Services Ltd;DRN-3368435
Burley Financial Services Limited;DRN-3368458
The Royal Bank of Scotland Plc;DRN-3369195
Jarvis Investment Management Limited;DRN-3369362
Acumen Independent Financial Planning Limited;DRN-3369561
Aviva Life & Pensions UK Limited;DRN-3372146
Barclays Bank UK PLC;DRN-3372227
Royal & Sun Alliance Insurance Limited;DRN-3372942
Lighthouse Advisory Services Limited;DRN-3372947
AJH Financial Services Ltd;DRN-3375647
Roberts Boyt Limited;DRN-3375752
Lloyds Bank PLC;DRN-3378564
D C Financial Limited;DRN-3379160
Phoenix Life Limited;DRN-3384631
Acumen Independent Financial Planning Limited;DRN-3386728
Trading 212 UK Limited;DRN-3387211
Nutmeg Saving and Investment Limited;DRN-3389292
Burley Fox Limited;DRN-3389334
Embark Investment Services Limited;DRN-3394499
Hargreaves Lansdown Asset Management Limited;DRN-3394882
Wesleyan Assurance Society;DRN-3396074
Wesleyan Assurance Society;DRN-3396078
ReAssure Limited;DRN-3396569
Clydesdale Bank Plc;DRN-3396847
BRITANNIA GLOBAL MARKETS LIMITED;DRN-3396856
Yorkshire Building Society;DRN-3397768
Aviva Life & Pensions UK Limited;DRN-3400415
Financial Administration Services Limited;DRN-3400681
Pensionhelp Limited;DRN-3400808
Legal & General Investment Management Ltd;DRN-3401477
Meteor Investment Management Ltd;DRN-3402377
Curtis Banks Limited;DRN-3404444
Mars Capital Finance Limited;DRN-3407949
Home Retail Group Card Services Limited;DRN-3407957
Creation Consumer Finance Ltd;DRN-3408120
Barclays Bank UK PLC;DRN-3408717
Prodigy Finance LTD;DRN-3409433
St. James's Place Wealth Management Plc;DRN-3412571
Tesco Underwriting Limited;DRN-3413123
CMC Markets UK plc;DRN-3413157
D C Financial Limited;DRN-3414555
James Hay Administration Company Ltd;DRN-3415033
D C Financial Limited;DRN-3415191
D C Financial Limited;DRN-3415943
Aviva Life & Pensions UK Limited;DRN-3416697
Rothesay Life Plc;DRN-3416735
Dobson & Hodge Limited;DRN-3417233
Trading 212 UK Limited;DRN-3417237
St James's Place UK plc;DRN-3418246
MetLife Europe d.a.c.;DRN-3418632
Hargreaves Lansdown Asset Management Limited;DRN-3419361
Phoenix Life Limited;DRN-3420387
London & Colonial Services Limited;DRN-3423152
London & Colonial Services Limited;DRN-3423213
Station Associates Limited;DRN-3423509
National Westminster Bank Plc;DRN-3425337
Vision Independent Financial Planning Ltd;DRN-3425619
Curran Connolly Financial Services;DRN-3425784
Society of Lloyd's;DRN-3425790
Lighthouse Advisory Services Limited;DRN-3427577
AJ Bell Management Limited;DRN-3427951
PayrNet Limited;DRN-3428138
National Westminster Bank Plc;DRN-3428716
Interactive Brokers (U.K.) Limited;DRN-3429267
MBNA Limited;DRN-3429331
Futures Assured Ltd;DRN-3429398
Starling Bank Limited;DRN-3431598
D C Financial Limited;DRN-3433413
Financial Solutions Wales Ltd;DRN-3435572
Barclays Bank UK PLC;DRN-3436144
Barclays Bank UK PLC;DRN-3436275
Clydesdale Bank Plc;DRN-3437093
Quilter Financial Services Ltd;DRN-3437629
Santander UK Plc;DRN-3438916
Schroder & Co Ltd;DRN-3439582
Bank of Scotland Plc;DRN-3440994
MotoNovo Finance Limited;DRN-3443102
HSBC Trust Company (UK) Ltd;DRN-3444375
HSBC UK Bank Plc;DRN-3445064
Grove Pension Solutions Limited;DRN-3445365
Bank of Scotland Plc;DRN-3445668
Pi Financial Ltd;DRN-3446894
Octopus Investments Limited;DRN-3446973
Octopus Investments Limited;DRN-3446994
EGR WEALTH LIMITED;DRN-3451065
Evolution FS Ltd;DRN-3452423
Vanguard Asset Management, Ltd;DRN-3452754
TenetConnect Limited;DRN-3452767
Scottish Widows Limited;DRN-3452877
Aviva Life & Pensions UK Limited;DRN-3453001
PrimaryBid Limited;DRN-3454312
Capital Com (UK) Limited;DRN-3454705
FinecoBank SPA;DRN-3455020
Apollo Pension & Investment Advisers;DRN-3455530
Everyday Lending Limited;DRN-3455690
The Pension Drawdown Company Limited;DRN-3456046
Mulberry Wealth Management Limited;DRN-3456939
Wise Payments Limited;DRN-3457048
Barclays Bank UK PLC;DRN-3457433
St. James's Place Wealth Management Plc;DRN-3458048
TSB Bank plc;DRN-3458315
Bank of Scotland Plc;DRN-3458885
ReAssure Limited;DRN-3459004
Niche Independent Financial Advisers Limited;DRN-3459545
Niche Independent Financial Advisers Limited;DRN-3459598
NewDay Ltd;DRN-3460379
GE Money Consumer Lending Limited;DRN-3462304
Capital One (Europe) plc;DRN-3462456
Barclays Bank UK PLC;DRN-3463952
Aviva Life & Pensions UK Limited;DRN-3463984
IG Index Limited;DRN-3464753
eToro (UK) Ltd;DRN-3465543
ReAssure Limited;DRN-3465774
TSB Bank plc;DRN-3467339
CST Wealth Management Limited;DRN-3468009
AJ Bell Asset Management Limited;DRN-3468350
Scottish Equitable Plc;DRN-3468678
Clydesdale Financial Services Limited;DRN-3469003
Makemson & Company Limited;DRN-3470022
Clydesdale Financial Services Limited;DRN-3471069
Clydesdale Financial Services Limited;DRN-3471138
Clydesdale Financial Services Limited;DRN-3471161
Clydesdale Financial Services Limited;DRN-3471282
Clydesdale Financial Services Limited;DRN-3471394
Pensionhelp Limited;DRN-3472356
Lantern Debt Recovery Services Ltd;DRN-3474867
Volkswagen Financial Services (UK) Limited;DRN-3474896
Interactive Investor Services Limited;DRN-3475463
Hargreaves Lansdown Asset Management Limited;DRN-3476984
Clydesdale Financial Services Limited;DRN-3477348
Redmayne-Bentley LLP;DRN-3477439
HSBC UK Bank Plc;DRN-3479536
Gain Capital UK Limited;DRN-3479629
IG Index Limited;DRN-3479748
True Potential Wealth Management LLP;DRN-3479797
Santander UK Plc;DRN-3480019
Canada Square Operations Limited;DRN-3480196
Westerby Trustee Services Limited;DRN-3482942
Chase de Vere Independent Financial Advisers limited;DRN-3484097
IG Markets Limited;DRN-3484177
Scottish Widows Limited;DRN-3484415
Plus500UK Ltd;DRN-3484825
Oplo PL Ltd;DRN-3485450
ReAssure Limited;DRN-3485994
The Prudential Assurance Company Limited;DRN-3487225
ReAssure Limited;DRN-3487259
Nationwide Building Society;DRN-3487399
Financial Administration Services Limited;DRN-3487795
CASFS Ltd;DRN-3488129
Bank of Scotland Plc;DRN-3488228
Octopus Investments Limited;DRN-3489417
D C Financial Limited;DRN-3489725
Scottish Widows Limited;DRN-3491816
National Westminster Bank Plc;DRN-3491885
GE Money Consumer Lending Limited;DRN-3492273
HSBC UK Bank Plc;DRN-3493048
Santander UK Plc;DRN-3493835
HSBC UK Bank Plc;DRN-3494610
Shawbrook Bank Limited;DRN-3494652
The Royal London Mutual Insurance Society Limited;DRN-3494918
Trade Facts Ltd;DRN-3494959
Barclays Bank UK PLC;DRN-3495078
Zurich Assurance Ltd;DRN-3495129
Plata Finance Limited;DRN-3495217
Interactive Brokers (U.K.) Limited;DRN-3495433
Digital Moneybox Limited;DRN-3498430
Barclays Bank Plc;DRN-3499143
Bank of Scotland Plc;DRN-3499233
Chequers Wealth Management Limited;DRN-3499982
ReAssure Limited;DRN-3501411
Phoenix Life Assurance Limited;DRN-3501415
Mitsubishi HC Capital UK Plc;DRN-3501503
Lloyds Bank PLC;DRN-3501539
Share In Ltd;DRN-3501726
U K Insurance Limited;DRN-3501812
Saxo Capital Markets UK Limited;DRN-3502171
Mercedes-Benz Financial Services UK Limited;DRN-3502364
Barclays Bank Plc;DRN-3502403
Pensionhelp Limited;DRN-3503106
WorldPay (UK) Limited;DRN-3503552
Tesco Personal Finance PLC;DRN-3503874
Allied Irish Banks Plc;DRN-3504387
Acumen Independent Financial Planning Limited;DRN-3504468
Mitsubishi HC Capital UK Plc;DRN-3504503
Interactive Investor Services Limited;DRN-3504671
Revolut Ltd;DRN-3504799
Cathedral Financial Services LLP;DRN-3504907
Conister Bank Limited;DRN-3505510
Hargreaves Lansdown Asset Management Limited;DRN-3506265
Starling Bank Limited;DRN-3509318
Metro Bank PLC;DRN-3510145
Clydesdale Financial Services Limited;DRN-3512500
Monzo Bank Ltd;DRN-3514321
National Westminster Bank Plc;DRN-3514493
The Prudential Assurance Company Limited;DRN-3514497
CST Wealth Management Limited;DRN-3514782
Standard Life Savings Limited;DRN-3515263
Scottish Friendly Assurance Society Limited;DRN-3515289
Interactive Investor Services Limited;DRN-3515574
Merlin Financial Services Limited;DRN-3516207
Monzo Bank Ltd;DRN-3516698
HSBC UK Bank Plc;DRN-3516803
Hiscox Insurance Company Limited;DRN-3517614
Clydesdale Financial Services Limited;DRN-3518093
Barclays Bank UK PLC;DRN-3518374
Clydesdale Financial Services Limited;DRN-3518664
Standard Life Assurance Limited;DRN-3518727
Bank of Scotland Plc;DRN-3518825
eBay Commerce UK Ltd;DRN-3518867
Etoro (Europe) Limited;DRN-3520017
Nationwide Building Society;DRN-3520672
Barclays Bank UK PLC;DRN-3521273
D C Financial Limited;DRN-3523213
Phoenix Life Assurance Limited;DRN-3523341
National Westminster Bank Plc;DRN-3524051
The Co-operative Bank Plc;DRN-3525347
KBFS Financial Limited;DRN-3534263
Worldwide Currencies Limited;DRN-3534272
The Prudential Assurance Company Limited;DRN-3534586
Legal and General Assurance Society Limited;DRN-3534947
Options UK Personal Pensions LLP;DRN-3535135
IG Index Limited;DRN-3535253
Zurich Assurance Ltd;DRN-3535912
Scottish Equitable Plc;DRN-3536061
St. James's Place Wealth Management Plc;DRN-3536562
Chequers Wealth Management Limited;DRN-3537852
Utmost Life and Pensions Limited;DRN-3538642
GE Money Consumer Lending Limited;DRN-3538833
1plus1 Loans Limited;DRN-3538859
IG Markets Limited;DRN-3539246
Clydesdale Bank Plc;DRN-3539358
St. James's Place Wealth Management Plc;DRN-3540016
IG Markets Limited;DRN-3540265
Bank of Scotland Plc;DRN-3540626
Barclays Bank UK PLC;DRN-3540821
The Prudential Assurance Company Limited;DRN-3541243
Circle UK Trading Limited;DRN-3541291
Interactive Investor Services Limited;DRN-3541687
@SIPP LIMITED;DRN-3541763
Brent Shrine Credit Union Limited;DRN-3542054
American Express Services Europe Limited (AESEL);DRN-3542116
Mitsubishi HC Capital UK Plc;DRN-3542292
Bank of Scotland Plc;DRN-3542581
Lloyds Bank PLC;DRN-3542698
Barclays Bank UK PLC;DRN-3543262
Wise Payments Limited;DRN-3543507
AxiCorp Limited;DRN-3543624
St. James's Place Wealth Management Plc;DRN-3544424
Black Horse Limited;DRN-3544515
eToro (UK) Ltd;DRN-3545244
NTM Financial Services Ltd;DRN-3545622
Revolut Ltd;DRN-3545940
Nationwide Building Society;DRN-3546238
Clydesdale Financial Services Limited;DRN-3547151
First Holiday Finance Ltd;DRN-3547205
NewDay Ltd;DRN-3549289
Barclays Bank UK PLC;DRN-3549792
ReAssure Limited;DRN-3550414
ReAssure Limited;DRN-3551323
Hargreaves Lansdown Asset Management Limited;DRN-3552561
Santander UK Plc;DRN-3552938
D C Financial Limited;DRN-3552976
MBNA Limited;DRN-3553609
NTM Financial Services Ltd;DRN-3553706
Lloyds Bank PLC;DRN-3553725
The Royal Bank of Scotland Plc;DRN-3553876
Lloyds Bank PLC;DRN-3553936
Santander UK Plc;DRN-3554062
Blue Motor Finance Ltd;DRN-3554973
Bank of Scotland Plc;DRN-3555020
Barclays Bank UK PLC;DRN-3555412
Vision Independent Financial Planning Ltd;DRN-3555494
Aviva Life & Pensions UK Limited;DRN-3555730
Makemson & Company Limited;DRN-3555747
The Prudential Assurance Company Limited;DRN-3555981
Countrywide Assured Plc;DRN-3556421
Apollo Pension & Investment Advisers;DRN-3556703
Santander UK Plc;DRN-3557313
Financial Administration Services Limited;DRN-3557763
ReAssure Limited;DRN-3557878
Bank of Scotland Plc;DRN-3558058
Crowdcube Capital Limited;DRN-3558477
National Westminster Bank Plc;DRN-3558499
Link Market Services Trustees Limited;DRN-3558559
Mitsubishi HC Capital UK Plc;DRN-3558659
Clydesdale Financial Services Limited;DRN-3558983
Financial Administration Services Limited;DRN-3560598
First Equity Limited;DRN-3560700
Halifax Share Dealing Limited;DRN-3560808
PayPal (Europe) Sarl et Cie SCA;DRN-3560809
Clydesdale Financial Services Limited;DRN-3560954
Bank of Scotland Plc;DRN-3561359
Clydesdale Financial Services Limited;DRN-3561523
Embark Services Limited;DRN-3561594
Shop Direct Finance Company Limited;DRN-3562549
Hargreaves Lansdown Asset Management Limited;DRN-3563522
National House-Building Council;DRN-3563639
Dobson & Hodge Limited;DRN-3563885
Clydesdale Financial Services Limited;DRN-3563973
First Holiday Finance Ltd;DRN-3564017
Mulberry Wealth Management Limited;DRN-3564068
Barclays Bank UK PLC;DRN-3564220
IG Markets Limited;DRN-3564602
Esteem Money Ltd;DRN-3567179
Hargreaves Lansdown Asset Management Limited;DRN-3567424
AJH Financial Services Ltd;DRN-3567833
First Holiday Finance Limited;DRN-3568040
Clydesdale Financial Services Limited;DRN-3568086
The Co-operative Bank Plc;DRN-3568098
The Co-operative Bank Plc;DRN-3568208
Advanced Payment Solutions Limited;DRN-3568238
Shawbrook Bank Limited;DRN-3569800
Moneybarn No. 1 Limited;DRN-3570440
Gaudi Regulated Services Limited;DRN-3570895
Nationwide Building Society;DRN-3571283
Tesco Personal Finance PLC;DRN-3571294
Volkswagen Financial Services (UK) Limited;DRN-3571638
Westerby Trustee Services Limited;DRN-3572003
D C Financial Limited;DRN-3573471
Crowdstacker Limited;DRN-3573575
HSBC UK Bank Plc;DRN-3574510
ReAssure Limited;DRN-3574854
Lighthouse Advisory Services Limited;DRN-3574861
Tesco Personal Finance PLC;DRN-3575791
Octopus Investments Limited;DRN-3575862
Hargreaves Lansdown Asset Management Limited;DRN-3575873
Gain Capital UK Limited;DRN-3575974
Oxford Capital Partners LLP;DRN-3576470
MBNA Limited;DRN-3576632
Aviva Life & Pensions UK Limited;DRN-3577373
Scottish Widows Limited;DRN-3578374
WPS ADVISORY Ltd;DRN-3579159
Hargreaves Lansdown Asset Management Limited;DRN-3579444
Creation Consumer Finance Ltd;DRN-3579632
Options UK Personal Pensions LLP;DRN-3579693
ReAssure Limited;DRN-3580064
NTM Financial Services Ltd;DRN-3580380
NTM Financial Services Ltd;DRN-3580424
Estate Capital Financial Management Limited;DRN-3580425
Lloyds Bank PLC;DRN-3580491
Computershare Investor Services Plc;DRN-3580558
U K Insurance Limited;DRN-3580926
Monzo Bank Ltd;DRN-3580942
ReAssure Limited;DRN-3581122
First Equity Limited;DRN-3582589
The Royal Bank of Scotland Plc;DRN-3583001
Starling Bank Limited;DRN-3583037
The Royal Bank of Scotland Plc;DRN-3583083
MBNA Limited;DRN-3583119
Cambrian Associates Limited;DRN-3583145
Barclays Bank UK PLC;DRN-3583166
Honeycomb Finance Limited;DRN-3583326
Scottish Widows Limited;DRN-3583382
Santander UK Plc;DRN-3583475
Revolut Ltd;DRN-3583663
Suffolk Life Pensions Limited;DRN-3584743
TSB Bank plc;DRN-3585003
Legal & General (Portfolio Management Services) Ltd;DRN-3585076
Sterling Trust Professional Ltd;DRN-3585148
American Express Services Europe Limited (AESEL);DRN-3585395
Northern Bank Limited;DRN-3585641
Wills & Trusts Independent Financial Planning Limited;DRN-3586919
The Prudential Assurance Company Limited;DRN-3587568
Trading 212 UK Limited;DRN-3587816
PrisWM Limited;DRN-3587857
D C Financial Limited;DRN-3587916
Everyday Lending Limited;DRN-3587964
Cofunds Limited;DRN-3588081
Clydesdale Financial Services Limited;DRN-3588145
ReAssure Limited;DRN-3588266
Covea Insurance plc;DRN-3588316
Mayfair Capital Limited;DRN-3588381
TSB Bank plc;DRN-3588452
National Westminster Bank Plc;DRN-3588755
Lloyds Bank PLC;DRN-3588796
KLO Financial Services Ltd;DRN-3588893
Swift 1st Limited;DRN-3588915
BNY Mellon Fund Managers Limited;DRN-3588957
Alan Steel (Asset Management) Limited;DRN-3589108
Barclays Bank UK PLC;DRN-3589353
Telford Mann Limited;DRN-3589650
Barclays Bank UK PLC;DRN-3589690
Clydesdale Financial Services Limited;DRN-3590450
True Potential Investments LLP;DRN-3590519
IG Index Limited;DRN-3590608
Lloyds Bank PLC;DRN-3590648
AJH Financial Services Ltd;DRN-3590984
Shawbrook Bank Limited;DRN-3591032
Pensionhelp Limited;DRN-3591122
Trading 212 UK Limited;DRN-3591210
Sun Life Assurance Company of Canada (U.K.) Limited;DRN-3591267
Volkswagen Financial Services (UK) Limited;DRN-3591324
The Royal Bank of Scotland Plc;DRN-3591438
Barclays Bank UK PLC;DRN-3591680
Saxo Capital Markets UK Limited;DRN-3591690
HSBC UK Bank Plc;DRN-3592153
Kensington Mortgage Company Limited;DRN-3592245
Insight Financial Associates Limited;DRN-3592364
ReAssure Life Limited;DRN-3592487
Clydesdale Financial Services Limited;DRN-3592551
ReAssure Limited;DRN-3593164
Clydesdale Financial Services Limited;DRN-3593188
Seedrs Limited;DRN-3593360
BMW Financial Services(GB) Limited;DRN-3593391
The Prudential Assurance Company Limited;DRN-3593495
Shawbrook Bank Limited;DRN-3594106
Society of Lloyd's;DRN-3594125
W Todd & Son Limited;DRN-3594237
Monzo Bank Ltd;DRN-3594673
Hargreaves Lansdown Asset Management Limited;DRN-3595183
Bamboo Limited;DRN-3595229
The Prudential Assurance Company Limited;DRN-3595271
Argentis Wealth Management Ltd;DRN-3595275
D C Financial Limited;DRN-3595352
Hiscox Underwriting Limited;DRN-3595648
Clydesdale Financial Services Limited;DRN-3596654
Volkswagen Financial Services (UK) Limited;DRN-3596865
Clydesdale Financial Services Limited;DRN-3597439
RCI Financial Services Limited;DRN-3597504
Columbia Threadneedle Management Limited;DRN-3598340
Quilter Investment Platform Limited;DRN-3599040
Santander UK Plc;DRN-3599381
Vision Independent Financial Planning Ltd;DRN-3599783
Clydesdale Financial Services Limited;DRN-3599871
Mitsubishi HC Capital UK Plc;DRN-3599982
Skipton Building Society;DRN-3600020
Monzo Bank Ltd;DRN-3600048
National Westminster Bank Plc;DRN-3600216
DAS Legal Expenses Insurance Company Limited;DRN-3600264
Barclays Bank UK PLC;DRN-3600320
Vision Independent Financial Planning Ltd;DRN-3600422
Usay Business Limited;DRN-3600693
Shawbrook Bank Limited;DRN-3600798
Hargreaves Lansdown Asset Management Limited;DRN-3601128
Clydesdale Financial Services Limited;DRN-3601181
HSBC UK Bank Plc;DRN-3601276
Share In Ltd;DRN-3601327
National Westminster Bank Plc;DRN-3601377
Creation Consumer Finance Ltd;DRN-3601592
Fortrade Limited;DRN-3601768
Tuto Money Limited;DRN-3602731
American Express Services Europe Limited;DRN-3603189
Amtrust Europe Limited;DRN-3604556
Nationwide Building Society;DRN-3605027
Inter-UK Financial Services Limited;DRN-3605129
ReAssure Limited;DRN-3605290
Starling Bank Limited;DRN-3605541
Metro Bank PLC;DRN-3605794
Starling Bank Limited;DRN-3606963
Interactive Investor Services Limited;DRN-3607087
Metro Bank PLC;DRN-3607094
TSB Bank plc;DRN-3607150
CST Wealth Management Limited;DRN-3607233
Starling Bank Limited;DRN-3607272
Freetrade Limited;DRN-3607283
Hargreaves Lansdown Asset Management Limited;DRN-3607393
Citibank UK Limited;DRN-3608542
Clydesdale Financial Services Limited;DRN-3608851
HSBC UK Bank Plc;DRN-3608859
Shawbrook Bank Limited;DRN-3609087
Bank of Scotland Plc;DRN-3609163
Barclays Bank UK PLC;DRN-3609645
Barclays Bank UK PLC;DRN-3609770
Clydesdale Financial Services Limited;DRN-3610143
Bank of Scotland Plc;DRN-3610331
Barclays Bank UK PLC;DRN-3610479
The Prudential Assurance Company Limited;DRN-3610624
The National Farmers' Union Mutual Insurance Society Limited;DRN-3610782
Barclays Bank UK PLC;DRN-3611218
RCI Financial Services Limited;DRN-3611220
Shop Direct Finance Company Limited;DRN-3611394
Citibank UK Limited;DRN-3611499
Barclays Bank UK PLC;DRN-3611804
Everyday Lending Limited;DRN-3612223
HDI Global Specialty SE;DRN-3612384
Shawbrook Bank Limited;DRN-3612460
The Prudential Assurance Company Limited;DRN-3612953
Novia Financial Plc;DRN-3612964
Diamond Resorts Financial Services Limited;DRN-3613368
The Charity Bank Limited;DRN-3613422
Cynergy Bank Limited;DRN-3613588
Cynergy Bank Limited;DRN-3613605
First Data Europe Limited;DRN-3613651
Cynergy Bank Limited;DRN-3613662
Tesco Personal Finance PLC;DRN-3613665
First Data Europe Limited;DRN-3613692
Cynergy Bank Limited;DRN-3613711
Lighthouse Advisory Services Limited;DRN-3613766
D C Financial Limited;DRN-3614108
BUPA Insurance Limited;DRN-3614221
HSBC UK Bank Plc;DRN-3614390
Nationwide Building Society;DRN-3614453
Santander UK Plc;DRN-3614508
Pearson Solicitors and Financial Advisers Ltd;DRN-3614778
Clydesdale Financial Services Limited;DRN-3614784
AJ Bell Management Limited;DRN-3614854
ReAssure Limited;DRN-3615187
Clydesdale Financial Services Limited;DRN-3615454
American Express Services Europe Limited (AESEL);DRN-3616028
Partners Credit Union Limited;DRN-3616128
Mitsubishi HC Capital UK Plc;DRN-3616208
Lloyds Bank PLC;DRN-3616221
Scottish Widows Limited;DRN-3616410
AJ Bell Management Limited;DRN-3616576
The Royal London Mutual Insurance Society Limited;DRN-3616581
HSBC UK Bank Plc;DRN-3616603
Phoenix Life Limited;DRN-3616946
Nationwide Building Society;DRN-3617021
Grove Pension Solutions Limited;DRN-3617511
BeaconIFA Limited;DRN-3617963
Warwick Financial Solutions Limited;DRN-3618108
MBNA Limited;DRN-3618248
Acumen Independent Financial Planning Limited;DRN-3618269
Melton Mowbray Building Society;DRN-3618356
Gain Credit LLC;DRN-3618454
Just Retirement Limited;DRN-3618509
Freetrade Limited;DRN-3618539
Nationwide Building Society;DRN-3618629
IFT Wealth Management Ltd;DRN-3618904
Barclays Bank UK PLC;DRN-3619164
AXA Insurance UK Plc;DRN-3619305
Soteria Insurance Limited;DRN-3620038
Barclays Bank UK PLC;DRN-3620069
HSBC UK Bank Plc;DRN-3620299
Portal Financial Services LLP;DRN-3620352
Phoenix Life Assurance Limited;DRN-3620448
Monzo Bank Ltd;DRN-3620912
Shop Direct Finance Company Limited;DRN-3621260
HSBC UK Bank Plc;DRN-3621296
HSBC UK Bank Plc;DRN-3621306
HSBC UK Bank Plc;DRN-3621357
