Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning
DRN-3819176,Ms D,Barclays Bank UK PLC,Banking,Ms D complains that she paid too much back to Barclays Bank UK PLC (Barclays) after she took out a loan.,Loan,"PPI, overpayment, loan","PPI mis-selling, loan balance, overpayments",,,I dont uphold this complaint about Barclays Bank UK PLC.,Nicola Bowes,20 February 2023,PPI mis-selling and alleged overpayments on a loan account,"Ms D believes she was mis-sold PPI and that Barclays did not correctly apply the PPI compensation to her loan balance, resulting in her making overpayments.",Ms D wants Barclays to refund the alleged overpayments and investigate the handling of her PPI compensation.,"Ms D took out a loan with Barclays in 2007 and experienced financial difficulties in 2009. She entered into a debt arrangement scheme and Barclays stopped charging interest on the loan in 2010. In 2012, Barclays received PPI compensation on Ms D's behalf and applied it to her loan balance. Ms D disputes that the PPI compensation was applied correctly and claims she continued to make payments on the loan until 2021 despite the account being closed in 2018.",The Ombudsman reviewed the loan account transactions and found that Barclays did apply the PPI compensation to Ms D's loan balance as stated. The Ombudsman also found that the loan account was closed in 2018 and that any payments made after that date were not related to the loan.
DRN-3820778,Miss D,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC failed to process her international payment instruction.,International payment,"international payment, fraud detection, exchange rate","payment delay, communication failure, compensation",,April 2022,partially uphold,Danielle Padden,1 March 2023,international payment delay and alleged loss due to exchange rate difference,"Barclays' failure to communicate clearly and promptly about the payment issue, resulting in inconvenience and potential financial loss.",Refund for any losses incurred due to exchange rate difference and additional compensation for inconvenience.,"Miss D made an international payment of £9,000 to her Cyprus account in April 2022, but the payment was not received. Barclays initially informed her that the payment had gone through, but it was later revealed that the payment was cancelled due to fraud detection. Miss D had to make the payment again using a third-party provider, resulting in a different exchange rate.","The Ombudsman agreed that Barclays should have tried to contact Miss D again after the payment was cancelled and that they failed to communicate clearly with her on several occasions. However, the Ombudsman could not determine whether there was any actual loss incurred due to the exchange rate difference and acknowledged that Barclays had a legitimate reason to stop the payment due to fraud detection."
DRN-3830610,Mr A,Barclays Bank UK PLC (Barclays),Banking,"Barclays' refusal to refund over £27,000 he lost to an investment scam under the Contingent Reimbursement Model (CRM) Code.",Investment platform offering ethical Islamic investment opportunities linked to the wholesale of mobile phones,"Investment scam, CRM Code, Ponzi scheme","Investment fraud, Payment protection, Customer due diligence",27000,N/A,uphold,Jack Ferris,9 February 2023,Investment scam,Barclays' refusal to refund the money he lost to the scam under the CRM Code,Refund of the money lost to the scam,"Mr A fell victim to an investment scam with a fraudulent telecoms company facilitated through an investment platform. He invested over £27,000 and was unable to withdraw his investment. He asked Barclays to refund the money under the CRM Code, but Barclays refused, considering it a civil buyer/seller dispute. The investigator upheld the complaint, but Barclays failed to respond, leading to the escalation to the Ombudsman.","The Ombudsman agreed with the investigator's conclusion that the investment opportunity was a scam and not a civil dispute. Barclays failed to provide evidence of an effective warning or establish that Mr A did not have a reasonable basis for believing the payments were legitimate. Therefore, Barclays should have reimbursed Mr A under the CRM Code."
DRN-3845399,H,Barclays Bank UK PLC (Barclays),Banking,Barclays closed its account without giving the correct notice.,Business bank account,"account closure, notice period, late delivery","account closure process, communication between bank and customer, delayed response to complaint",,16 December 2021,Dont uphold,Alex Brooke-Smith,2 March 2023,Closure of business bank account,Barclays closed the account without giving the required notice period and failed to respond to the complaint in a timely manner.,H wanted Barclays to acknowledge and apologise for the delayed notice and the delay in responding to the complaint.,"Barclays closed H's account after a review, giving notice on 31st December 2021 to be effective from 1st March 2022. H complained that the notice was received late and that his relationship director had told him some accounts would not be closed. Barclays upheld the closure decision but later apologised for the delayed response.","The Ombudsman found that Barclays had complied with the account closure terms by providing the required two months' notice. Although the notice was received late, the Ombudsman could not hold Barclays responsible for delays beyond their control. The Ombudsman also explained that they could not consider the complaint about the delayed response as it fell outside their jurisdiction."
DRN-3850079,Ms J,Barclays Bank UK PLC (Barclays),Banking,Barclays reimbursed her when she fell victim to a scam but then later re-debited the funds.,Debit card,"scam, fraud, reimbursement","fraudulent transactions, chargeback, liability for unauthorized transactions",1135,,dont uphold,Melanie Roberts,7 March 2023,Barclays' handling of a fraudulent transaction and subsequent chargeback.,"Barclays reimbursed the funds, only to re-debit them later.",Ms J wants Barclays to permanently reimburse the funds that were debited from her account after being scammed.,Ms. J fell victim to a scam and authorized payments from her Barclays debit card account. Barclays initially reimbursed the funds but later reversed the reimbursement after a chargeback was unsuccessful. Ms. J complained about this.,The Ombudsman considered whether Barclays should have done more to protect Ms. J from the scam and whether it should have made additional checks on the disputed payments. The Ombudsman concluded that Barclays did not act in error by not intervening and that it could not reasonably have done more to recover the funds. The Ombudsman also found that Barclays was not wrong to re-debit the funds after the chargeback failed.
DRN-3858724,Mr and Mrs W,Barclays Bank UK Plc (Barclays),Banking,"Barclays' handling of arrears on their mortgage and mortgage current account (MCA), including repayment plan issues, incorrect credit reporting, and a lump sum payment allocation dispute.",Mortgage and mortgage current account (MCA),"Repayment plan, credit reporting, lump sum payment","Mortgage arrears, credit file impact, communication issues",,,uphold,Hanna Johnson,17 May 2023,"Mortgage arrears handling and its impact on credit file, repayment plan issues, and lump sum payment allocation dispute","Barclays' failure to resolve system errors, incorrect credit reporting, and refusal to consolidate arrears despite previous promises.","Correction of credit file, consolidation of arrears, compensation for distress and inconvenience","Mr and Mrs W had previously complained about Barclays' handling of their mortgage arrears and won the case. Despite the previous decision, they faced ongoing issues with repayment plans, incorrect credit reporting, and a disputed lump sum payment allocation. Barclays acknowledged a system error but failed to rectify it promptly, causing distress and financial implications for Mr and Mrs W.","The Ombudsman found that Barclays' system error had a significant impact on Mr and Mrs W's credit files and caused ongoing inconvenience. The Ombudsman also considered that Barclays did not provide sufficient justification for splitting the lump sum payment between the mortgage and MCA accounts against Mr and Mrs W's preference. Therefore, the Ombudsman upheld the complaint and directed Barclays to make necessary adjustments, consolidate arrears, and provide compensation for the distress caused."
DRN-3882546,B,Barclays Bank Plc,Banking,Barclays Bank Plc treated it unfairly in relation to its merchant services agreement.,Merchant services agreement,"PCI DSS, penalty, Visa","Security issue, communication, penalty",23000,January 2020,I dont uphold this complaint.,James Langford,15 February 2023,Barclays withheld the money B held with it and asked B to arrange to pay it the rest.,B considers Barclays has treated it unfairly.,B wants Barclays to refund the withheld money and not to terminate the agreement.,Barclays contacted B in January 2020 about a security issue on its website. B didn't take action and Barclays withheld the money B held with it and asked B to arrange to pay the penalty from Visa.,The Ombudsman found that Barclays was entitled to pass on the penalty from Visa to B as per the terms of their agreement. The Ombudsman also found that Barclays had done enough to make B aware of the risks involved in accepting payments from cardholders and that Barclays had acted reasonably in the circumstances.
DRN-3893581,Mrs A,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC's refusal to refund money lost in a scam and poor customer service.,Online payment service,"scam, refund, customer service","fraud prevention, reimbursement, customer service",2002.99,April 2022,I dont uphold this complaint.,Alan Millward,31 August 2023,Barclays Bank UK PLC's refusal to refund money lost in a scam and poor customer service.,She was the victim of a scam and Barclays Bank UK PLC did not refund her money.,"Refund of the money lost, compensation for the distress and inconvenience suffered, and an improvement in customer service.","Mrs A was scammed into sending money to an investment company that turned out to be a scam. Barclays Bank UK PLC refused to refund the money, stating that it was not responsible for the scam and that Mrs A had authorized the payment. Mrs A complained to the Financial Ombudsman Service.",The Ombudsman found that Barclays Bank UK PLC was not responsible for the scam and that it had not acted unreasonably in refusing to refund the money. The Ombudsman also found that Barclays Bank UK PLC had provided Mrs A with a reasonable level of customer service.
DRN-3898293,The estate of Mr M,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC's handling of requests to transfer funds between accounts,Bank account,"Transfer, Signature, Delay","Signature verification, Communication, Compensation",,July 2021,uphold,Marco Manente,27 February 2023,The complaint related to Barclays Bank UK PLC's handling of requests to transfer funds between accounts.,"The main reason for the complaint was that Barclays Bank UK PLC declined a request to transfer £20,000 from a sole named account to a joint account due to a signature mismatch.",The complaint wanted Barclays Bank UK PLC to action the transfer request and provide compensation for the distress and inconvenience caused.,"The complainant, Mr M, instructed Barclays Bank UK PLC to transfer £20,000 from his sole named account to a joint account. Barclays declined the request due to a signature mismatch. Mr M passed away before the issue was resolved. Barclays offered £150 in compensation, which the complainant's estate appealed.","The Ombudsman found that Barclays Bank UK PLC was not unreasonable in declining the transfer request as it was unable to verify Mr M's signature. However, the Ombudsman considered that there was a delay in responding and that the service provided at times should have been better. The Ombudsman concluded that the offer of £150 in compensation was fair and reasonable in all the circumstances."
DRN-3904068,Mr H,Barclays Bank UK PLC,Banking,Poor customer service and handling of complaints,Barclays account and online banking,"Online payment, One-time passcode, Customer service","Payment issue, Complaint handling, Customer service",200,March 2022,uphold,Nicolas Atkinson,8 March 2023,Online payment issue and poor customer service,Barclays didn't handle his complaints properly and provided poor customer service,Compensation for the inconvenience faced and an improvement in customer service,"Mr. H faced an issue with an online payment due to a faulty one-time passcode. He made multiple complaints about the issue and the poor customer service he received. Barclays acknowledged the problems but offered only £100 in compensation, which Mr. H considered insufficient.","The Ombudsman agreed that Barclays was at fault for the payment issue and poor customer service. While acknowledging Mr. H's request for £200 compensation, the Ombudsman determined that the impact of the inconvenience did not warrant such an amount. Therefore, an additional £100 compensation was deemed fair."
DRN-3905066,Mr and Mrs S,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC didn't provide the service it should have when they made a transfer in error.,Transferring funds,"System error, exchange rate, transfer","Accidental transfer, exchange rate loss, system error",,September 2022,Do not uphold,Jane Archer,27 March 2023,Incorrect transfer of funds and subsequent exchange rate loss,They believe that the transfer was made due to a system error and that Barclays should cover the exchange rate loss.,They want Barclays to reverse the transaction and refund the exchange rate loss.,"Mr and Mrs S accidentally transferred 219,000 euros to their UK account due to a possible system error. They immediately transferred the funds back, resulting in a substantial exchange rate loss. Barclays refused to reverse the transaction, stating that the payment was confirmed before it was processed and that the loss was due to the exchange rate fluctuation.",The Ombudsman found no evidence of a system error and concluded that the transfers were done accidentally by Mr S. The Ombudsman also noted that it is not the role of the Financial Ombudsman Service to tell Barclays how their systems should operate or what its procedures should be.
DRN-3924912,Mr H,Barclays Bank UK PLC trading as Barclaycard,Banking,"Barclays removed £1,000 from his account.",Barclaycard,"Barclaycard, double payment, refund","Direct debit, manual payment, bank statement",1000,July 2022,uphold,Martin Lord,16 March 2023,"Barclays took £1,000 from his account.","He showed us a statement which showed a debit to his Barclays account of £1,365.63.","He wanted Barclays to refund the £1,000.","Mr H had a current account with Barclays, and a Barclaycard. The Barclaycard was settled each month by direct debit from his Barclays current account. In July 2022, the direct debit for £456.72 was taken - but Mr H also made a manual payment of £456.72. So a double payment was made. Barclaycard refunded one amount of £456.72 to the current account on 21 July 2022.","The Ombudsman considered all the available evidence and arguments and concluded that there was no evidence that an amount of £1,000 had been taken from Mr H's accounts. The Ombudsman also considered whether the double payment of £456.72 caused the confusion, but concluded that this was not the case. However, the Ombudsman did agree that there had been some poor service by Barclaycard - as some calls had been cut off. For that, he said Barclaycard should pay compensation of £50."
DRN-3936236,Mr F,Barclays Bank UK PLC (Barclays),Banking,Refusal of a refund for money lost due to a scam.,Debit card,"scam, cryptocurrency, chargeback","fraud prevention, online scams, payment disputes",,,Dont uphold,Terry Woodham,26 April 2023,Unauthorised transactions and fraud,Barclays' refusal to process a chargeback for the payments made to a cryptocurrency exchange that was involved in a scam.,A refund of the money lost due to the scam.,"Mr. F was scammed into making payments to a fraudulent investment business, X, through a legitimate cryptocurrency exchange, Moonpay, using his debit card. Despite realizing the scam, he was unable to recover the funds. He filed a complaint with Barclays for a chargeback, but it was denied.","The Ombudsman determined that Barclays was not responsible for Mr. F's loss because the payments were made to a legitimate business and did not trigger the bank's fraud prevention systems. While one payment was larger, it was not significantly high enough to warrant Barclays to stop it. Therefore, Barclays did not miss an opportunity to prevent the scam."
DRN-3963076,Mr U,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC wont refund money he lost as the result of a scam.,Mobile banking,"scam, refund, car","fraud, liability, consumer protection",,July 2021,not to uphold,Sandra Quinn,3 May 2023,Mr U complained Barclays Bank UK PLC wont refund money he lost as the result of a scam.,Mr U felt hed been scammed. He asked Barclays to refund him as hed been an innocent victim and felt he was covered under the Contingent Reimbursement Model Code.,Mr U wanted Barclays to refund him the money he lost as a result of the scam.,"In July 2021, Mr U bought a car for £3,030 using Barclays mobile banking. He encountered problems with the car and was concerned he hadn't received the warranty he had been promised. He was unable to get in touch with the dealer. He asked Barclays to refund him under the Contingent Reimbursement Model Code, but Barclays refused.","The Ombudsman considered all the available evidence and arguments and concluded that there was not sufficient evidence to show that Mr U was the victim of a scam. The Ombudsman also noted that Mr U did not complain to Barclays until December, nearly six months after receiving the car. The Ombudsman concluded that it would not be fair and reasonable to ask Barclays to do anything further."
DRN-3966227,T,Barclays Bank Plc (trading as Barclaycard),Banking,Barclays Bank Plc (trading as Barclaycard) treated it unfairly by failing to defend a chargeback claim that was made against it.,Merchant processing agreement,"Chargeback, Failure to defend, Unfair treatment","Chargeback process, Merchant's responsibility, Communication between bank and merchant",3943.5,,Do not uphold,Asher Gordon,12 September 2023,Barclays' failure to defend a chargeback claim made by a customer (Ms. C) for a course fee paid by her using her Mastercard.,"Barclays did not inform them about the chargeback claim within the required timeframe, which resulted in their inability to defend the claim and led to the debiting of the disputed amount from their account.","A refund of the debited amount (£3,943.50) and an acknowledgment of Barclays' fault in failing to defend the chargeback.","T, a company, entered into a merchant processing agreement with Barclays. One of T's former students, Ms. C, made payments for a course using her Mastercard. She later raised chargeback claims for both the deposit and the remaining balance. Barclays notified T about the first chargeback claim, which T responded to. However, T did not receive the notification about the second chargeback claim within the timeframe specified by Barclays and failed to provide the requested information. As a result, Barclays was unable to defend the second chargeback, and the amount was debited from T's account.","The Ombudsman acknowledged that T did not receive the letter from Barclays informing them about the second chargeback claim. However, under the terms of the agreement, Barclays was not required to send the letter via registered delivery, and it was T's responsibility to ensure that they received the communication. The Ombudsman also considered that Barclays had acted reasonably in requesting evidence to defend the chargeback and that T's failure to provide the information within the specified timeframe resulted in their inability to defend the claim. Therefore, the Ombudsman concluded that Barclays did not act unfairly in debiting the disputed amount from T's account."
DRN-3976321,Mr C,Barclays Bank UK PLC (Barclays),Banking,"Mis-selling of fee-paying packaged accounts, Additions, Additions Active and Premier Life in 2006, 2008 and 2009, and fee-paying Travel Plus, Home and Tech Packs added to his account in 2015.","Packaged bank accounts, Additions, Additions Active, Premier Life, Travel Plus, Home and Tech Packs","Mis-selling, packaged accounts, overdraft","Packaged bank accounts, Overdraft, Travel insurance",,,uphold in part,Thomas White,20 March 2023,Mis-selling of packaged bank accounts and add-on packs,Mr C believed that the packaged accounts and add-on packs were mis-sold to him and that he had not been provided with clear and accurate information about the products.,Refund of fees paid for the Additions account and compensation for the mis-selling of the packaged accounts and add-on packs.,Mr C complained that Barclays mis-sold him fee-paying packaged accounts and add-on packs. Barclays argued that Mr C had complained too late about the sale of his packaged accounts and that the add-on packs were not mis-sold. The ombudsman found that the Additions account was likely mis-sold but that the add-on packs were not.,"The ombudsman found that Mr C was likely misled into thinking that upgrading to the Additions account would help his mortgage application be approved. However, the ombudsman did not find that the add-on packs were mis-sold as the letters sent to Mr C made it clear that they would be added to his account to provide similar levels of cover that he used to receive under the Premier Life account and that they were optional products that he could opt out of."
DRN-3976701,Mr G and Mrs L,Barclays Bank UK PLC,Banking,Delays in taking out a new mortgage deal and the associated financial losses and inconvenience.,New mortgage deal,"Delays, Mortgage, Compensation","Mortgage application process, Communication issues, Financial redress",1795,,Opposite,Esther Absalom-Gough,31 July 2023,Remortgage,"The distress, inconvenience, and financial losses caused by the delays and mishandling of their mortgage application by Barclays.","Refund of overcharged interest, refund of product fee, and compensation for the time and distress caused.","Mr. G and Mrs. L experienced significant delays and errors in their attempt to take out a new mortgage deal with Barclays. Despite numerous attempts to contact Barclays and provide necessary information, the process was plagued by issues such as incorrect account details, address mismatches, and failure to send or process documents. As a result, they were charged an incorrect interest rate and incurred additional costs.","The Ombudsman acknowledged the delays and mistakes made by Barclays but considered the compensation offered by the bank to be fair and reasonable. While expressing understanding for the complainants' frustration, the Ombudsman explained that the requested level of compensation was not in line with the service's overall approach to compensation."
DRN-3982685,Mr P,Barclays Bank UK PLC (trading as Barclaycard),Financial services,Barclays Bank UK PLC (trading as Barclaycard) sold his credit card debt to a third-party firm without taking his personal circumstances into consideration.,Credit card,"Credit card debt, mental health, vulnerability","Debt collection, customer service, financial difficulty",,,not upheld,Andrew Fraser,15 August 2023,Barclaycard sold Mr P's credit card debt to a third-party firm without taking his personal circumstances into consideration.,Mr P stated that Barclaycard was aware of his financial position and mental health and that its treatment of him had made matters worse.,Mr P wanted Barclaycard to write off his debt and pay him compensation for the stress it had caused.,"Mr P opened a credit card account with Barclaycard in 2006. In 2013, he defaulted on the account and began making payments of £1 per month. In 2017, Barclaycard sold Mr P's debt to a third-party firm. Mr P complained to Barclaycard, arguing that it should have written off his debt instead of selling it. Barclaycard responded that it was legally entitled to sell the debt and that Mr P was bound by the terms and conditions of his credit agreement. Mr P referred his complaint to the Financial Ombudsman Service.",The Ombudsman found that Barclaycard did not breach the Standards for Lending Practice when it sold Mr P's debt to a third-party firm. The Ombudsman noted that Barclaycard gave Mr P reasonable notice of the transfer and that there was no evidence that Barclaycard was aware of Mr P's mental health issues at the time of the transfer.
