Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning
DRN-3830015,Mr C,Lloyds Bank PLC,Banking,Length of time taken to remove his name from a joint mortgage account and the impact of this on his credit file,Mortgage,"mortgage, credit file, bankruptcy","removal from mortgage account, impact on credit file, compensation",,,dont uphold,Jan O'Leary,6 June 2023,The length of time taken to remove his name from a joint mortgage account with Lloyds Bank PLC and the impact of this on his credit file.,"Mr C says that because of Lloyds error, he had to sell his car, and his credit score is now very poor. Mr C says that this has affected his ability to obtain credit or a mortgage elsewhere.","To settle the complaint, Mr C wants Lloyds to compensate him and offer him and his new partner a mortgage.","Mr C had a mortgage which was held jointly with his former partner. In 2018 he left the mortgaged property. Lloyds wasn't willing to remove him from the mortgage account and said it could only do this if the other party applied, and the request was deemed affordable.
In April 2020 Mr C was declared bankrupt, and was discharged from bankruptcy in April 2021. In April 2022 Lloyds agreed that, because the bankruptcy meant that Mr C had no interest in the property, it would remove him from the account, and did so in April 2022. 
Lloyds acknowledged it could have done this sooner, and agreed to refund Mr Cs legal fees of £3,239 and to pay him compensation of £3,000.","The Ombudsman considered all the available evidence and arguments to decide what's fair and reasonable in the circumstances of this complaint.
There are two aspects to this complaint: whether Lloyds should have removed Mr C from the mortgage sooner than it did, and how the banks actions have (or have not) affected Mr Cs credit profile and thus his ability to obtain credit elsewhere.
Where a mortgage is in joint names and one party asks to be removed from the account a lender is required to consider whether or not the mortgage would be affordable for the other party if it was transferred into their sole name. Lloyds explained this to Mr C in 2019, and I'm satisfied this was the correct response. 
I dont know if Mr Cs former partner made an application for the mortgage to be transferred into their sole name  that person is not a party to this complaint, and so I have no consent to access their personal information. But if there had been an application and Lloyds considered it not to be affordable in their sole name, thats a decision Lloyds would have been entitled to make. If there was no application, thats a decision for Mr Cs former partner.
Mr C believes that if a transfer of the mortgage had taken place in 2019, hed have been entitled to receive £13,000 from the equity in the property. However, Mr C will need to resolve that issue directly with his former partner if he believes that he is entitled to a share of the equity.
After Mr C had been declared bankrupt, Lloyds should have removed him from the mortgage account. I note Lloyds has now acknowledged this, and the bank removed him from the account in April 2022. Im not persuaded, however, that the banks failure to do this sooner has affected Mr Cs ability to raise credit.
I say this because, having looked at Mr Cs credit file, I can see that the bankruptcy has been correctly reported on the credit file by Lloyds. The credit file shows the mortgage as being defaulted on the date of Mr Cs bankruptcy, and the satisfaction date one year later, when he was discharged from bankruptcy. The defaulted account will remain on his credit file for six years from the date of the bankruptcy, and so should not drop off his credit file until April 2026. Im satisfied, therefore, that the information recorded on Mr Cs credit file about the bankruptcy and the effect of this on the mortgage account is correct.
I appreciate Mr Cs point  that if Lloyds had agreed to remove him from the mortgage in 2019 when hed ask the bank to do so, it wouldnt now be reported on his credit file. But as Ive said above, it was up to Mr Cs former partner to apply to the bank for a transfer of the mortgage into their own name. If theyd done that, but the application had been declined on affordability, thats not something I can ask Lloyds to change, or backdate. If Mr Cs former partner hadnt made an application, thats not something thats within the control of Lloyds, or anything that this service can become involved with; its between Mr C and his former partner.
In the circumstances, Im satisfied that the mortgage is being correctly reported on Mr Cs credit file. I fully appreciate that this has affected the type of credit and the interest rates available to him. But lenders are entitled to know the financial history of someone applying for credit, including any previous bankruptcy. Therefore, even if Lloyds had removed Mr C from the mortgage account in April 2020 (when he was declared bankrupt) or April 2021 (when his bankruptcy was discharged), the bankruptcy itself would still have shown up on his credit file, and will continue to do so until April 2026."
DRN-3832609,Ms C,Lloyds Bank PLC,Financial services,Amount of compensation paid for mis-sold payment protection insurance (PPI) policies,PPI policies,"PPI, mis-selling, compensation","PPI mis-selling, compensation calculation, financial redress",,,Dont uphold,Adam Charles,2 February 2023,PPI mis-selling and compensation calculation,Ms C believed that Lloyds Bank PLC had not correctly calculated the compensation for the mis-sold PPI policies and wanted to ensure that all PPI policies in a chain of loans were reassessed.,Ms C wanted Lloyds Bank PLC to reassess the PPI compensation and provide a fair and accurate compensation amount.,Ms C complained about the compensation offered by Lloyds Bank PLC for mis-sold PPI policies. Lloyds Bank PLC reassessed the PPI policies and provided further compensation. Ms C was not satisfied with the reassessment and brought the complaint to the Financial Ombudsman Service.,"The Ombudsman reviewed the evidence and determined that Lloyds Bank PLC had followed the correct method in calculating Ms C's PPI compensation. The Ombudsman explained that for a chain of loans, the compensation includes refunding extra payments made for PPI premiums, associated interest and charges, and any leftover PPI that was wrapped up into subsequent loans. The Ombudsman also clarified that Lloyds Bank PLC had already refunded the PPI for certain loans in 2010 and those decisions remained unchanged. The Ombudsman concluded that Lloyds Bank PLC had offered fair compensation to Ms C."
DRN-3845981,Mr and Mrs C,Lloyds Bank Plc,Banking,Handling of re-mortgage and early repayment charges (ERC).,Mortgage,"Early repayment charge, Mortgage, Overpayment","Fixed interest rate, Lumpsum payment, Product transfer",100000.0,,Dont uphold,Stephanie Mitchell,8 February 2023,Delay in arranging a new fixed interest rate product and inability to make a lump sum payment without incurring an early repayment charge.,Financial disadvantage due to increased interest rates and poor customer service.,Change in Lloyds' policies regarding early repayment charges and compensation for the financial loss incurred.,"Mr and Mrs. C wanted to make a lump sum payment towards their mortgage but were advised by Lloyds to move to a variable rate for one month to avoid incurring an early repayment charge. They felt this caused them financial disadvantage as interest rates had increased. Lloyds maintained that the charges were clearly outlined and that other options were available, such as remortgaging elsewhere.","The Ombudsman found that Lloyds had clearly communicated the terms and conditions of the mortgage, including the early repayment charges. While acknowledging the inconvenience faced by Mr. and Mrs. C, the Ombudsman considered that they were not being treated differently from other customers and that the charges were not punitive but a way for lenders to cover costs and risks."
DRN-3854406,Mr P,Lloyds Bank PLC (Lloyds),Banking,Reduction in credit card limit without explanation,Credit card,"Credit limit, unfair, communication","Credit limit reduction, customer service, compensation",,,Dont uphold,Bridget Makins,2 March 2023,Reduction in credit card limit,"Unfair reduction in credit limit, poor customer service","Restoration of credit limit, compensation for poor service",Mr. P's credit limit was reduced by Lloyds Bank without any explanation. He contacted the bank to reinstate his credit limit but was unsuccessful. He then filed a complaint with the Financial Ombudsman Service.,"The Ombudsman found that Lloyds Bank acted within its terms and conditions in reducing Mr. P's credit limit. However, the bank did not provide a clear explanation for the reduction and offered Mr. P an opportunity to provide additional information to reconsider the decision. The Ombudsman also acknowledged the inconvenience caused to Mr. P and awarded him £40 compensation for poor service."
DRN-3877202,Mr M,Lloyds Bank Plc,Banking,"Lloyds Bank blocked a payment and took too long to unblock his account, causing him significant stress and additional costs.",Online banking and payment services,"Payment block, poor service, distress","Payment issues, customer service, compensation",,2 July 2022,uphold,Sophie Mitchell,8 June 2023,Payment issues and poor customer service,"The distress and inconvenience caused by the payment block and subsequent issues, as well as the inadequate compensation offered by Lloyds.",Additional compensation for the distress and inconvenience experienced.,"Mr. M tried to make a large payment to a new payee, which was flagged by Lloyds. Despite contacting the bank, he faced further issues including misleading advice, blocked online access, and poor phone support. Lloyds eventually unblocked the payment, but Mr. M remained dissatisfied with the £151 compensation offered.","The Ombudsman agreed that Lloyds provided poor service and that the initial £151 compensation was insufficient. While acknowledging Mr. M's distress, the Ombudsman considered an additional £250 compensation, as recommended by the Investigator, to be fair and reasonable in the circumstances."
DRN-3880479,Mrs F,Lloyds Bank PLC,Banking,Lloyds Bank PLC refused to allow her to open a new account due to concerns about her mental capacity.,Bank account,"Discrimination, Mental capacity, Reasonable adjustments","Discrimination, Mental capacity, Banking services",36400.0,16 February 2022,Upholding in part,Rebecca Connelley,20 February 2023,Discrimination and failure to make reasonable adjustments for a customer with dementia.,Mrs. F felt that the bank's decision not to open an account for her was discriminatory and in breach of the Equality Act 2010.,"Compensation, changes to the bank's policies, and retraining for staff.","Mrs. F, who has dementia, visited a Lloyds Bank branch with her husband to open a new account. The bank staff became concerned about her mental capacity to understand and agree to the account opening due to her limited involvement in the meeting and her husband's comments about her memory issues. Despite suggestions for alternative solutions, the bank decided not to proceed with the account opening. Mrs. F felt this decision was discriminatory and caused her distress.","The Ombudsman found that Lloyds Bank had reasonable concerns about Mrs. F's mental capacity based on the interaction during the meeting. However, the bank could have managed its decision more empathetically and ensured a more appropriate closure of the meeting. The Ombudsman awarded £200 compensation for the distress caused but did not uphold the claimed losses due to the bank's decision not to open the account."
DRN-3881710,Miss S,Lloyds Bank PLC,Banking,Lloyds Bank PLC's refusal to refund a payment she made to a company offering her a photoshoot and portfolio.,Debit card payment,"Chargeback, scam, photoshoot","Payment dispute, online scam, consumer protection",950.0,September 2021,Do not uphold,Tero Hiltunen,14 April 2023,Payment of £950 to a company for a photoshoot and portfolio.,She believed she had been scammed and did not receive what she had paid for.,Refund of the £950 payment.,"Miss S made a £950 payment to a company for a photoshoot and portfolio. She later contacted Lloyds Bank PLC to request a refund, claiming that she had been scammed and did not receive what she had paid for. Lloyds Bank PLC investigated the complaint and concluded that Miss S had received the photos she had paid for and therefore could not process a chargeback.","The Ombudsman considered the evidence and arguments presented by both parties and concluded that Lloyds Bank PLC did not act unfairly in the way it handled Miss S's request for a refund. The Ombudsman noted that the supplier was able to provide evidence that Miss S received what she had paid for and that Miss S provided misleading information about whether she recognised the transaction and had authorised it. The Ombudsman also considered the fact that even if Lloyds Bank PLC had used a different reason for the chargeback, it would still likely have failed due to the supplier's evidence."
DRN-3881743,"Miss S, represented by her daughter Ms S",Lloyds Bank plc,Banking,Unauthorised direct debits and poor customer service,Bank account,"Direct debit, customer service, compensation","Unauthorised transactions, poor customer service, compensation",,,uphold,Belinda Knight,7 February 2023,Unauthorised direct debits and poor customer service,Lloyds Bank plc didn't refund unauthorised direct debits and provided poor customer service when she was trying to get this resolved.,"Refund of unauthorised direct debits, compensation for poor customer service, and the ability to add her daughter to her account","Miss S noticed unauthorised direct debits on her bank statement and contacted Lloyds Bank. Despite multiple visits to the branch and phone calls, the issue was not resolved promptly. The complainant felt that the customer service was poor and that she was not being taken seriously. Eventually, after the complaint was referred to the Financial Ombudsman Service, Lloyds Bank agreed to refund the unauthorised direct debits and pay compensation for the poor service.",The Ombudsman found that Lloyds Bank was liable for the unauthorised direct debits and that the customer service provided was poor. The Ombudsman ordered Lloyds Bank to pay compensation to Miss S and to work with her to add her daughter to her account.
DRN-3884332,Mr P,Lloyds Bank PLC (Lloyds),Banking,"Mis-selling of fee-paying Gold Service, Platinum and Premier packaged accounts",Packaged bank accounts,"Mis-selling, Packaged bank accounts, Financial Ombudsman Service","Packaged bank accounts, Mis-selling, Financial Ombudsman Service",,,Dont uphold,Thomas White,9 March 2023,Mis-selling of packaged bank accounts,Mr P says that many of benefits were not suitable for his needs or were later removed but the price stayed the same. Mr P says he was unable to claim on many of the products due to his employment. He also says he was told that having the accounts would improve his chances of getting an overdraft and obtaining loans.,Mr P wants the packaged accounts to be declared mis-sold and for Lloyds to compensate him for the fees he has paid.,"Mr P complained that Lloyds Bank PLC (Lloyds) mis-sold him fee-paying Gold Service, Platinum and Premier packaged accounts. Mr P has given a number of reasons why he says that the accounts were mis-sold. These include that he says that many of benefits were not suitable for his needs or were later removed but the price stayed the same. Mr P says he was unable to claim on many of the products due to his employment. He also says he was told that having the accounts would improve his chances of getting an overdraft and obtaining loans. The complaint was referred to the Financial Ombudsman Service after Lloyds did not uphold the complaint.","The Ombudsman considered all the available evidence and arguments and concluded that it is more likely that Mr P agreed to the packaged accounts because he was attracted to some of the benefits that they provided, rather than because he thought he needed them to obtain further credit. The Ombudsman also noted that Mr P registered a large number of phones over the years he had the accounts, claimed on the travel insurance, and claimed on the home emergency cover a number of times, which suggests that he was given at least some information about the packaged account benefits."
DRN-3902504,Miss H,Lloyds Bank PLC,Banking,"Unauthorised opening of an account, a £50,000 loan taken out in her name, and being held liable for the loan",Loan,"Unauthorised account, Loan, Liability","Identity theft, Liability for unauthorised transactions, Investigation",50000.0,June 2020,Dont uphold,Sonal Matharu,20 April 2023,Unauthorised account opening and loan,She did not apply for the account or the loan and believes she is a victim of identity theft,"Stop sending account statements, close the unauthorised account, stop pursuing her for the loan","An account was opened and a £50,000 loan was taken out in Miss H's name without her knowledge or consent. Lloyds Bank investigated the complaint but declined it, believing Miss H was involved in the applications. Miss H brought the matter to the Financial Ombudsman Service for review.",The Ombudsman considered the evidence provided by both parties and concluded that it is more likely that Miss H or someone with her agreement took out the loan. The Ombudsman noted that the details on the application matched Miss H's genuine details and were consistent with information held by Lloyds from another account she holds within the same banking group. The Ombudsman also considered the possibility of a third party being responsible but found it difficult to understand how they could have obtained all of Miss H's personal information and successfully intercepted all the post related to the loan for almost a year.
DRN-3915353,P,Lloyds Bank PLC (Lloyds),Banking,"Lloyds Bank PLC's failure to refund a payment of £9,542.75 made to a Wise account as part of an investment scam in February 2022.",Debit card,"Investment scam, payment, refund","Fraud, liability, reasonable care",9542.75,February 2022,Do not uphold,Jack Ferris,10 October 2023,"Payment of £9,542.75 made to a Wise account as part of an investment scam",Lloyds Bank PLC's failure to refund the payment,Refund of the payment,"P authorised a payment of £9,542.75 to Wise using its Lloyds debit card. The funds were subsequently transferred to the scammers. P claims that Lloyds should have done more to prevent it from falling victim to the scam.","The Ombudsman considered whether Lloyds should have done more to prevent P from falling victim to the scam, but found that there was nothing that ought reasonably to have triggered Lloyds fraud monitoring systems in these circumstances. Therefore, the Ombudsman did not uphold the complaint."
DRN-3918413,Mr G,Lloyds Bank PLC,Banking,"Lloyds Bank combined two of his loans, resulting in him paying more interest on his original loan.",Loan,"mis-sold, interest rate, loan agreement","loan consolidation, misrepresentation, financial loss",,,dont uphold,Emma Davy,8 March 2023,"The complaint relates to the merging of two loans by Lloyds Bank, resulting in a higher interest rate for the complainant.",The complainant believed that the loan was mis-sold as it did not make sense to merge the entire loan at a higher interest rate.,The complainant wanted Lloyds Bank to separate the two loans and recalculate the original loan at the lower interest rate.,"In 2017, Mr. G visited a Lloyds branch and was encouraged to merge his existing loan and credit card into a new loan with a higher interest rate. Despite his complaints, Lloyds did not separate the loans or recalculate the interest rate.","The Ombudsman reviewed the loan applications, loan agreement, and discussions between Mr. G and Lloyds. They concluded that Mr. G was provided with all necessary information and understood the terms of the new loan, including the higher interest rate. While the interest rate was higher, the new loan resulted in a lower overall monthly payment, which may have influenced Mr. G's decision."
DRN-3925448,Miss W,Lloyds Bank PLC,Banking,Incorrect information provided about minimum payment percentage on credit card account,Credit card,"minimum payment percentage, credit card, incorrect information","credit card, minimum payment, incorrect information",,,uphold,Emma Davy,22 February 2023,Incorrect information provided about minimum payment percentage on credit card account,Miss W was misinformed about the minimum payment percentage and this made the credit unaffordable for her.,"Miss W wanted Lloyds to amend the minimum payment amount so that she could pay what she was expecting to pay for the duration of the interest free period, without causing any negative impact on her credit file.","Miss W was told that the minimum monthly payments on her new credit card would be 1% of the balance, but when she received the paperwork she saw that they were actually 2.5%. She complained to Lloyds and they agreed that she had been misinformed and paid her £100 in compensation, but they were unable to amend the minimum payment amount. The Ombudsman upheld the complaint and recommended that Lloyds pay Miss W a further £1606.45 in compensation to cover the difference between the 1% minimum payment she thought she would be paying and the 2.5% minimum payment she will be required to pay over the 21 month interest free period. Lloyds also agreed to pay Miss W £250 for distress and inconvenience.",The Ombudsman considered all the available evidence and arguments and thought that the offer made by Lloyds was fair and reasonable and in line with what they had recommended. Miss W had also accepted the offer.
DRN-3926609,Mr M,Lloyds Bank PLC,Banking,Delay in processing and unfair decline of a loan application under the Recovery Loan Scheme.,Recovery Loan Scheme loan,"Delay, Affordability, Communication","Loan application process, Affordability assessment, Compensation",,July 2021 - February 2022,uphold in part,Ben Jennings,27 July 2023,The complaint related to the handling of Mr. M's application for a loan under the Recovery Loan Scheme by Lloyds Bank PLC.,"Mr. M believed that the bank's decision to decline his loan application was unfair, that the process took too long, and that he was put to unnecessary trouble and expense.",Mr. M wanted compensation for the distress and inconvenience caused by the delay and the costs incurred in obtaining information for the loan application.,"Mr. M applied for a loan under the Recovery Loan Scheme in July 2021 but faced delays and lack of communication from the bank. Despite submitting the required information, his application was declined in February 2022 due to affordability concerns. He complained about the delay and the decision, leading to an investigation and review by the ombudsman.","The ombudsman found that while the bank's decision to decline the loan application based on affordability was reasonable, there were significant delays in processing the application. The ombudsman considered that Mr. M was put to avoidable inconvenience and distress due to the delay and lack of updates from the bank. Therefore, the ombudsman upheld the complaint in part and required Lloyds Bank PLC to pay Mr. M additional compensation for the distress and inconvenience caused."
