Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning,Company
DRN-3636067,Mr M,HSBC UK Bank Plc,Banking,"HSBC's failure to close his credit card account, resulting in adverse data on his credit file and financial difficulties.",Credit card,"Credit card, account closure, credit file","Account management, financial difficulty, credit reporting",,,Dont uphold,Sandra Greene,14 February 2023,"HSBC's failure to close Mr. M's credit card account, leading to adverse credit reporting and financial difficulties.",The negative impact on his credit report due to HSBC's reporting of missed payments instead of an arrangement to pay.,Fair compensation for the negative impact on his credit file and support in resolving his financial difficulties.,"HSBC failed to close Mr. M's credit card account after the banking relationship ended, leading to continued spending and missed payments. Despite HSBC's acknowledgment of the error and compensation of £75, Mr. M remained dissatisfied due to the negative impact on his credit file and the lack of a Covid payment holiday.","The Ombudsman found that HSBC's compensation for the account closure error was fair, as Mr. M continued to use the account and make payments. While HSBC did not offer a Covid payment holiday, they provided a reduced payment plan and suspended charges and interest, demonstrating support for Mr. M's financial difficulties. The Ombudsman also determined that HSBC adequately informed Mr. M about the payment plan's impact on his credit file, and the reported status code accurately reflected his payment status.",HSBC UK Bank Plc
DRN-3672640,Mr P,AXA Insurance UK Plc,Insurance,AXA didn't pay his claim in full for medical expenses incurred during an extended stay in India due to an accident while traveling.,Travel medical insurance,"medical expenses, extended stay, accident","settlement amount, evidence of expenses, communication during the claim process",,13 March 2020,opposite,Scott Slade,3 February 2023,Settlement amount of a travel insurance claim for medical expenses incurred during an extended stay in India.,AXA did not pay for his accommodation costs in full and did not reimburse him for phone calls made to AXA's assistance line.,Full payment of his accommodation costs and reimbursement of phone calls made to AXA's assistance line.,Mr. P had travel medical insurance with AXA and was unable to return home from India on his intended flight due to an accident. AXA declined to pay the full cost of his extended accommodation because it was not satisfied with the evidence provided. Mr. P disagreed and submitted a complaint to the Financial Ombudsman Service.,The Ombudsman agreed with AXA's assessment of the claim and found that it was not medically necessary for Mr. P to stay in India for rehabilitation treatment. The Ombudsman also found that Mr. P had prejudiced AXA's investigation by not reporting the accident until approximately one month after it happened.,AXA Insurance UK Plc
DRN-3681064,Mr V,Nationwide Building Society,Financial services,Nationwide Building Society's refusal to refund a deposit paid for a wedding venue that could not be used due to Covid-19 restrictions.,Nationwide credit card,"Section 75, chargeback, frustrated contract","Consumer rights, financial liability, contract law",1250,,opposite,Niall Taylor,10 February 2023,refusal to refund a deposit paid for a wedding venue that could not be used due to Covid-19 restrictions,The complainant felt that the prevailing circumstances of the pandemic made it unreasonable for the venue to rely on the non-refundable nature of the deposit.,A refund of the deposit paid for the wedding venue.,"Mr V used his Nationwide credit card to pay a deposit for a wedding venue. The wedding was unable to go ahead due to Covid-19 restrictions and the venue was not available on the rearranged date. Mr V sought to recover his deposit from the venue but was unsuccessful. He then approached Nationwide to get the money back under section 75 of the Consumer Credit Act 1974, but Nationwide declined his claim.",The Ombudsman found that Nationwide was not in breach of its obligations under section 75 of the Consumer Credit Act 1974 as the venue had not misrepresented its position or breached the contract. The Ombudsman also found that Nationwide was not required to pursue a chargeback claim on Mr V's behalf as it was unlikely to have been successful.,Nationwide Building Society
DRN-3681182,Mr P,HSBC UK Bank Plc,Banking,HSBC didn't do enough to protect him from a scam resulting in financial loss and wants to be reimbursed.,Cryptocurrency investment,"Cryptocurrency scam, Payment authorisation, Fraud prevention","Unauthorised payments, Bank's responsibility in fraud prevention, Scam awareness",13318.92,,uphold,Claire Pugh,4 May 2023,Unauthorised payments made from his HSBC account and subsequent loss of funds due to a cryptocurrency scam.,HSBC's failure to prevent the fraudulent payments despite red flags and lack of intervention.,Reimbursement of the lost funds and compensation for distress and inconvenience.,"Mr P fell victim to a cryptocurrency scam and made payments totalling \u00a320,200. HSBC didn't uphold his complaint, leading him to bring the case to the Financial Ombudsman Service. The investigator initially agreed with Mr P but HSBC disagreed, resulting in the case being escalated to the Ombudsman.","The Ombudsman found that HSBC should have taken proactive steps to identify and prevent potentially fraudulent transactions. The initial payment of \u00a35,100 should have raised red flags and prompted HSBC to contact Mr P to verify the transaction. By failing to do so, HSBC missed an opportunity to uncover the scam and prevent further losses. The Ombudsman also held HSBC partially responsible for the payments made to Mr P's account with R, as they would not have occurred if HSBC had intervened earlier.",HSBC UK Bank Plc
DRN-3687418,Miss M,Casualty & General Insurance Company (Europe) Ltd (CGICE),Insurance,How CGICE dealt with a claim she made under her pet insurance policy.,Pet insurance policy,"Misrepresentation, CIDRA, Claim handling","Policy misrepresentation, Claim settlement, Insurer's conduct",,October 2021,uphold,Daniel O'Shea,2 May 2023,Claim handling and misrepresentation in pet insurance policy,"CGICE asked for an additional premium to process her claim after her dog was bitten, claiming she misrepresented the dog's breed when taking out the policy.","Fair and proportionate settlement of her claim, without being pressured into paying a higher premium.","Miss M made a claim under her pet insurance policy after her dog was bitten. CGICE asked her to pay an additional premium, stating that she had misrepresented the dog's breed when taking out the policy. Miss M complained about this and CGICE's handling of her personal data. The Ombudsman found that Miss M did not take reasonable care when answering the question about the dog's breed, but that CGICE should have informed her of the option to settle the claim proportionately rather than insisting on the additional premium.","The Ombudsman considered the Consumer Insurance (Disclosure and Representations) Act 2012 (CIDRA) and found that Miss M's misrepresentation was careless rather than deliberate or reckless. CGICE could have settled the claim proportionately but instead asked for an additional premium, which was not in line with CIDRA. The Ombudsman also found that CGICE's language and tone were borderline cynical and not in the interests of transparency.",Casualty & General Insurance Company (Europe) Ltd
DRN-3688345,H,Lloyds Bank PLC,Banking,"Lloyds Bank PLC's refusal to open a sterling account for them, leading to the closure of their USD currency account.",Sterling account and USD currency account,"Account closure, Application rejection, UK residency requirement","Account opening criteria, Communication issues, Reasonable process",,,I dont uphold this complaint,Tara Richardson,15 June 2023,The complaint relates to Lloyds Bank PLC's decision to close H's USD currency account due to the inability to open a sterling account.,H complained that Lloyds Bank PLC's application process was unfair and that they were not provided with clear information regarding the requirements for opening a sterling account.,H wanted Lloyds Bank PLC to open a sterling account for them and to keep their USD currency account open.,"Lloyds Bank PLC informed H that their USD currency account would be closed unless they opened a sterling account. H attempted to open a sterling account but faced difficulties due to the requirement for a UK-based point of contact. Despite providing the contact details of their UK accountant, Lloyds Bank PLC declined the application based on the information available on Companies House. H brought the complaint to the Financial Ombudsman Service after being dissatisfied with Lloyds Bank PLC's response.","The Ombudsman considered the evidence and found that Lloyds Bank PLC followed their internal process in declining H's application for a sterling account. The decision was based on the requirement for a person of significant control for H to be based in the UK, as per the information on Companies House. The Ombudsman acknowledged that Lloyds Bank PLC could make commercial decisions about which accounts to open and that there was no evidence of unfair treatment or discrimination. While there was confusion caused by Lloyds Bank PLC mentioning a previously closed sterling account, it was not considered to have a bearing on the closure of the currency account.",Lloyds Bank PLC
DRN-3694865,Mr E,National Westminster Bank Plc (NatWest),Banking,NatWest failed to refund money he lost to an investment scam.,Visa debit card,"Investment scam, online trading, high-risk investments","Investment fraud, online trading risks, bank's responsibility in investment scams",,,I dont uphold this complaint.,Terry Woodham,22 February 2023,Investment scam and the bank's failure to prevent the losses.,The complainant believed that NatWest should have done more to prevent his loss in an investment scam.,Refund of the payments made using his NatWest debit card.,"Mr. E made multiple payments to ET Finance (ETF) from his NatWest account, totaling a significant amount of money. He lost most of his investment with ETF, which turned out to be a scam. He believed that NatWest should have detected the unusual transactions and prevented the losses.","The Ombudsman considered the information available and concluded that NatWest could not have reasonably known that ETF was operating a scam based solely on the recipient details. While the payments were unusual, it was not clear that ETF was illegitimate or that Mr. E was being scammed. Additionally, the chargeback process had specific requirements and time limits, and there was no evidence to support Mr. E's claim that ETF did not provide the service it promised.",National Westminster Bank Plc
DRN-3696281,Mrs F,Nationwide Building Society,Financial services,"Nationwide blocked her account causing distress, inconvenience, and financial risk.",Bank account,"Account block, financial risk, distress","Account restrictions, communication, customer service",,1 April 2022,uphold,Katherine Jones,24 April 2023,"Nationwide blocked her account without a clear explanation, causing distress and inconvenience.",She was concerned about the financial risk of holding a large amount of money in one institution and felt that Nationwide did not adequately address her concerns.,"An explanation for the account block, compensation for the distress and inconvenience caused, and an assurance that steps would be taken to prevent similar issues in the future.","Nationwide blocked Mrs. F's account due to concerns about her financial vulnerability. Mrs. F complained to the FOS, arguing that the block was unnecessary and caused her distress and inconvenience. The FOS investigator agreed that the block was unnecessary but found that Nationwide had acted in accordance with their duty of care. The FOS recommended that Nationwide pay Mrs. F £75 in recognition of the distress and inconvenience caused.","The Ombudsman agreed with the investigator's findings and concluded that the £75 offered by Nationwide was fair and reasonable in the circumstances. The Ombudsman noted that Nationwide had followed their terms and conditions in applying the block but acknowledged that the review process took longer than necessary, contributing to Mrs. F's distress and inconvenience.",Nationwide Building Society
DRN-3706125,O,National Westminster Bank Plc,Banking,Unfair failure to pay the promised incentive for switching banking.,Business current account switching incentive,"Incentive payment, switching bank accounts, eligibility criteria","eligibility for incentive, communication between bank and customer, customer's understanding of terms",4000,,opposite,Louise Bardell,28 February 2023,"NatWest's refusal to pay the promised incentive for switching banking, despite the customer meeting the eligibility criteria.","NatWest should have informed them which account needed to be switched and had they done so, they would have switched it.","Payment of the promised incentive of £4,000.","The complainant, a company referred to as 'O', was offered an incentive of £4,000 by NatWest to switch its banking. O had two business current accounts with NatWest and was advised that only the main account was eligible for the incentive. O switched the main account but did not receive the incentive. NatWest stated that O was not eligible because it had not switched the eligible account, which was the Number 2 account. O disputed this, arguing that they were not informed that the Number 2 account was the eligible account and that they had acted in good faith.","The Ombudsman found that it was more likely than not that NatWest sent O the necessary communications informing them of the eligible account and that O had misunderstood which account needed to be switched. The Ombudsman also found that NatWest did not provide any inaccurate information and that it was not reasonable to expect the bank to explain the eligibility criteria unless a customer asked. Therefore, the Ombudsman did not uphold the complaint.",National Westminster Bank Plc
DRN-3709382,Mr and Mrs H,HSBC UK Bank Plc,Banking,HSBC's refusal to refund money lost to an authorised push payment (APP) scam.,Online banking,"APP scam, reimbursement, reasonable basis","CRM Code, fraud prevention, customer responsibility",2300,18 December 2021,opposite,Stephen Wise,1 March 2023,Unauthorised payment,HSBC's refusal to refund the money lost in the scam despite being a signatory to the CRM Code.,Refund of the money lost in the scam.,"Mr and Mrs H fell victim to an APP scam and lost \u00a32,300 after they sent payment for a boat to fraudsters. HSBC declined to refund the money under the CRM Code, arguing that Mr and Mrs H did not have a reasonable basis for believing the payment was for genuine goods or services.","The Ombudsman found that Mr and Mrs H did not have a reasonable basis for believing the payment they were making was for genuine goods or services, and that this was sufficient reason for HSBC to fairly decline to reimburse them under the CRM Code. The Ombudsman also found that HSBC did not need to do more than it did to protect Mr and Mrs H from the scam or to recover the money.",HSBC UK Bank Plc
DRN-3726967,Mrs P,HSBC UK Bank Plc,Banking,Unauthorised transactions on her account and the bank's refusal to refund the disputed amounts.,Debit card (Card 1 and Card 2),"Unauthorised transactions, refund, overdraft","Payment Services Regulations, liability for unauthorised transactions, financial distress",20000,December 2021,uphold,Thom Bennett,6 July 2023,Unauthorised transactions on her HSBC account and the bank's refusal to refund the disputed amounts.,"She believed she had lost over £20,000 across both cards, and the account had been left overdrawn.","Refund of the disputed transactions, removal of interest and charges caused by the overdrawn account, and removal of negative information from her credit file.","Mrs P complained that HSBC UK Bank Plc wouldn't refund her for transactions she says she didn't make or agree to. HSBC declined to refund the amounts as they believed Mrs P's son had carried out the transactions. The Ombudsman found that the payments made with Card 2 were likely made by someone else without Mrs P's authorisation and should be refunded, but the payments made with Card 1 were likely authorised by someone Mrs P had given access to the card details.","The Ombudsman considered the Payment Services Regulations 2017 (PSRs) and concluded that the payments made with Card 1 were likely authorised by someone Mrs P had given access to the card details, as they were made to the same online merchant and there were no obvious signs that Mrs P might be falling victim to financial crime. However, the Ombudsman found that Card 2 was not a valid payment instrument for Mrs P's account and the payments made with this card should be refunded.",HSBC UK Bank Plc
DRN-3730799,Mr T,U K Insurance Limited trading as NIG Insurance (NIG),Insurance,NIG avoided his Motor Trade policy without reason which left many vehicles uninsured.,Motor Trade policy,"Policy avoidance, Non-disclosure, Material facts","Duty of fair presentation, Qualifying breach, Remedies for breach",,,Dont uphold,Ankita Patel,10 February 2023,Policy avoidance and claim rejection,Policy should not have been avoided as the non-disclosure was an oversight and the broker was provided with all the information.,Policy to be reinstated and claim to be paid.,"Mr. T's Motor Trade policy was avoided by NIG due to non-disclosure of a previous bankruptcy and company insolvency. Mr. T argued that it was an oversight and the broker had all the information, but NIG maintained that the information was material and should have been disclosed.",The Ombudsman found that Mr. T had a duty to make a fair presentation of the risk and that the non-disclosed information was material. NIG was therefore entitled to avoid the policy and decline the claim.,U K Insurance Limited
DRN-3735487,Mr S,Aviva Life & Pensions UK Limited (Aviva),Financial services,Incorrect pension value provided by Aviva,Pension,"pension, error, compensation","incorrect fund value, compensation, poor communication",,,uphold,Rob Deadman,13 March 2023,Incorrect pension value,He was furious with this mistake which had occurred when he was close to retirement and in poor health.,More compensation and an apology,"Aviva made a mistake in calculating Mr. S's pension value, resulting in an incorrect fund value. Mr. S complained to Aviva, who apologized and offered him £350 in compensation. Mr. S remained unhappy and referred his complaint to the Financial Ombudsman Service.",The Ombudsman found that Aviva had made a mistake in calculating Mr. S's pension value but that the mistake had been corrected. The Ombudsman also found that Aviva should have provided Mr. S with more information about how the error had occurred and how his fund value had been adjusted. The Ombudsman upheld the complaint and required Aviva to pay Mr. S £450 in compensation.,Aviva Life & Pensions UK Limited
DRN-3739133,Ms B,Lloyds Bank PLC,Banking,Lloyds Bank PLC's refusal to refund amounts reported as lost to an investment scam.,Investment,"Investment scam, cryptocurrency, payments","Investment scam, bank's responsibility, financial loss",,,I dont uphold Ms Bs complaint,Amy Osborne,22 March 2023,Ms B complains that Lloyds Bank PLC hasnt agreed to refund amounts shes reported as lost to an investment scam.,Ms B believes that Lloyds Bank PLC should have warned her about the investment scam and should have intervened to prevent her from making payments to the scam.,Ms B wants Lloyds Bank PLC to refund the money she lost in the investment scam.,Ms B fell victim to an online investment scam and lost money. She made payments to the scam through a genuine cryptocurrency exchange. Lloyds Bank PLC did not consider the payments to be suspicious and did not intervene. Ms B believes that Lloyds Bank PLC should have warned her about the scam and should have prevented her from making the payments.,The Ombudsman considered all the available evidence and arguments and concluded that Lloyds Bank PLC was not required to warn Ms B about the scam or to intervene to prevent her from making the payments. The Ombudsman noted that Ms B had used the cryptocurrency exchange before and had made payments of similar value in the months leading up to the scam. The Ombudsman also noted that Ms B had not contacted Lloyds Bank PLC to express any concerns about the payments until after she had lost money.,Lloyds Bank PLC
DRN-3739562,Mr and Mrs B,Great Lakes Insurance SE,Insurance,Declined travel insurance claim for non-refundable holiday property bond (HPB) user charges and car hire costs.,Travel insurance policy,"HPB, travel insurance, claim decline","Policy exclusion, claim handling, financial loss",,November 2021,Not upheld,Anna Wilshaw,21 February 2023,Travel insurance claim for non-refundable holiday property bond (HPB) user charges and car hire costs,They believe the HPB user charge is not a maintenance fee and is not specifically excluded in the policy.,Payment of their claim for HPB user charges and car hire costs.,Mr and Mrs B had to cancel their trip due to a change in Mrs B's health. They claimed on their travel insurance for non-refundable HPB user charges and car hire costs. Great Lakes declined the claim based on a general exclusion in the policy for HPBs.,The Ombudsman found that the exclusion in the policy for HPBs was clear and that it was not unreasonable for Great Lakes to rely on this exclusion to decline the claim. The Ombudsman also found that the car hire costs were less than the excess payable on the policy and therefore it was not unreasonable for Great Lakes to decline to pay these costs either.,Great Lakes Insurance SE
