Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning,Company
DRN-3881814,Mr B,Lloyds Bank PLC (Lloyds),Banking,Refusal of a refund after falling victim to a scam.,Debit card,"Scam, Fraud, Payments","Online trading scam, Chargeback scheme, Duty of care",,,Dont uphold,Terry Woodham,12 April 2023,Unauthorised payments made to a fraudulent investment company called Millennium FX (X) using his debit card.,Lloyds should have done more to protect him from the scam.,Refund of the money lost due to the scam.,"Mr. B was scammed by a company called Millennium FX (X) into making payments totaling over £5,000 through his debit card. He claims that Lloyds Bank should have detected and prevented these fraudulent transactions.","The Ombudsman considered the chargeback scheme rules and the time limits involved, concluding that a chargeback was not a viable option. While the larger payment of £4,958.56 stood out, it was not unreasonable for Lloyds' fraud prevention systems not to be triggered. Therefore, the Ombudsman found that Lloyds was not responsible for Mr. B's loss and did not have to issue a refund.",Lloyds Bank PLC
DRN-3882865,Mr and Mrs K,Lloyds Bank PLC,Banking,Receiving letters addressed to an unknown third-party at their address,Bank accounts,"Address mix-up, Data breach, Customer service","Incorrect mail, Data protection, Banking regulations",,,Do not uphold,Paul Cooper,17 May 2023,Incorrect mail,Frustration and concern about receiving letters addressed to a third-party,For Lloyds Bank to stop sending letters addressed to the third-party to their address and to investigate how the third-party obtained their address.,"Mr and Mrs K complained to Lloyds Bank about receiving letters addressed to an unknown third-party at their address. Lloyds responded that they rely on their account holders to provide accurate contact information and that they had taken steps to ensure no further correspondence addressed to the third-party would be received by Mr and Mrs K. However, Mr and Mrs K continued to receive letters addressed to the third-party and referred their complaint to the Financial Ombudsman Service.",The Ombudsman found that Mr and Mrs K were not eligible complainants in regard to the Lloyd's accounts held by the third-party and that the only aspect of their complaint that the Ombudsman could consider was whether Lloyds had enabled or facilitated the third-party using Mr and Mrs K's address. The Ombudsman found no evidence to suggest that Lloyds had provided the third-party with Mr and Mrs K's address information and therefore did not uphold the complaint.,Lloyds Bank PLC
DRN-3901627,Miss B,Lloyds Bank PLC,Banking,Lloyds Bank PLC's refusal to refund money lost in a suspected scam.,Club Lloyds account,"scam, payments, refund","fraud, liability, good industry practice",7947.23,,opposite,Staci Rowland,22 February 2023,"Payments made to a builder, Mr D, who allegedly scammed the complainant.",The complainant believed that Lloyds Bank PLC should have refunded the payments made to Mr D as they were a result of a scam.,Refund of the payments made to Mr D.,"The complainant, Miss B, made multiple payments to an individual, Mr D, for stone mason work at her home. Following a building inspection, it was found that the work did not meet the expected standard. Miss B reported the incident to the police and contacted Lloyds Bank PLC to request a refund of the payments, which was declined. Miss B then filed a complaint with the Financial Ombudsman Service.","The Ombudsman considered the evidence and concluded that there was insufficient proof to establish that Mr D intended to defraud Miss B from the outset. The payments were made as a result of a civil dispute rather than a scam, and therefore Lloyds Bank PLC was not liable for the losses incurred by Miss B.",Lloyds Bank PLC
DRN-3917969,Mr N,Lloyds Bank PLC,Banking,The complainant was complaining that Lloyds Bank PLC should not have agreed to give his business a Coronavirus Business Interruption Loan (CBIL) because the business was already failing and it was not affordable.,Coronavirus Business Interruption Loan (CBIL),"Affordability, Business failure, Lending criteria","Loan eligibility, Financial assessment, Business viability",25001.0,,Dont uphold,Louise Bardell,23 August 2023,"The complaint related to the bank's decision to approve a Coronavirus Business Interruption Loan (CBIL) for the complainant's business, despite concerns about its affordability and viability.",The complainant believed that the bank had not conducted proper affordability checks and that the loan was not affordable for his business.,The complainant wanted the bank to write off the CBIL loan and any associated interest.,"The complainant, Mr. N, applied for and received a CBIL from Lloyds Bank PLC in 2020 to support his business during the pandemic. However, his business later failed, and the bank demanded repayment of the loan. Mr. N complained that the bank should not have approved the loan as his business was already failing and would not have passed affordability checks. The bank maintained that it had carried out adequate checks and that Mr. N met the criteria.","The Ombudsman considered the evidence and concluded that the bank had carried out sufficient checks before approving the CBIL. The Ombudsman noted that the CBIL scheme was designed to provide swift financial assistance to businesses during the pandemic, and detailed manual checks were not expected. The Ombudsman also considered the representations made by Mr. N in his application and the information available from his bank account statements, which indicated that the business met the bank's lending criteria. The Ombudsman acknowledged the complainant's difficult circumstances but concluded that the bank had not acted wrongly in lending under the CBIL scheme at the time.",Lloyds Bank PLC
DRN-3937418,Mr D,Lloyds Bank PLC (Lloyds),Financial services,"Irresponsible lending of financial products, leading to financial difficulties and excessive charges.",Two loans taken out in February 2016 and August 2019,"Unaffordable lending, financial difficulty, forbearance","Lending practices, affordability checks, lender's duty of care",,,Opposite,Ronesh Amin,28 February 2023,Unaffordable lending and excessive charges on two loans taken out with Lloyds Bank PLC.,"Mr D believed that Lloyds did not conduct proper affordability checks before lending him money, leading to financial difficulties and excessive charges.",Mr D wanted all charges and interest on the two loans to be refunded.,"Mr D took out two loans with Lloyds Bank PLC - one in February 2016 and another in August 2019. He alleged that Lloyds did not conduct proper affordability checks before approving the loans, leading to financial difficulties. Lloyds maintained that they had carried out the necessary checks and that Mr D's income and expenditure at the time indicated that the loans were affordable.","The Ombudsman found that while reasonable and proportionate checks may not have been completed by Lloyds in relation to the two loans, they made fair lending decisions based on the information obtained. The Ombudsman also found that Lloyds responded to Mr D with forbearance and due consideration once it was aware that he was in financial difficulty. Therefore, the complaint was not upheld.",Lloyds Bank PLC
DRN-3942334,A,Lloyds Bank PLC,Banking,Lloyds Bank PLC did not allow more time to repay or refinance its borrowing.,"Business loan, overdraft, credit card","Repayment, refinancing, flooding","Financial difficulty, communication, customer service",,,Do not uphold,Michael Crewe,26 April 2023,The complaint relates to Lloyds Bank PLC's decision to demand full repayment of A's borrowing and the appointment of Law of Property Act Receivers.,"A claims that Lloyds Bank PLC did not provide sufficient time to repay or refinance the borrowing, despite the impact of flooding and the pandemic, and that it has been unsympathetic and inflexible in its approach.",A wanted more time to pursue a lease extension of the property and then to refinance the borrowing.,"A, a sole trader business, took out a business loan backed by security on its leasehold property in 2007. A also had an overdraft and credit card. A explains that since 2017 it has been affected by serious flooding of its property on several occasions and the pandemic. Lloyds Bank PLC demanded full repayment of the borrowing by 31 July 2022 or Law of Property Act Receivers would be appointed.","The Ombudsman considered that Lloyds Bank PLC had given A sufficient time to repay the borrowing, taking into account the difficulties it had faced. The Ombudsman also considered that Lloyds Bank PLC had not made any mistake or acted unreasonably in its dealings with A.",Lloyds Bank PLC
DRN-3947128,Ms M,Lloyds Bank PLC,Financial services,Advice to start paying free standing additional voluntary contributions (FSAVCs) to a new pension plan,FSAVC pension plan,"FSAVC, pension, advice","Financial advice, pensions, suitability",,,Dont uphold,Paul Reilly,6 April 2023,Advice to start paying free standing additional voluntary contributions (FSAVCs) to a new pension plan,Ms M believes that Lloyds Bank PLC failed to provide her with suitable advice when she was advised to start paying FSAVCs in 1992.,Ms M wants Lloyds Bank PLC to compensate her for the losses she has incurred as a result of the unsuitable advice.,"Ms M met with Lloyds Bank PLC in 1992 to discuss her pension arrangements. She was advised to start paying FSAVCs to a new pension plan sold by Lloyds. Ms M accepted that recommendation and agreed to make net monthly contributions of £40. In 1997, Ms M had a further meeting with Lloyds and agreed to increase her FSAVC payments by an additional £30 per month.","The Ombudsman found that Lloyds Bank PLC did not provide Ms M with suitable advice when it advised her to start paying FSAVCs in 1992. However, the Ombudsman also found that Ms M would have made the same decision even if Lloyds had provided her with all the information it should have. Therefore, the Ombudsman did not uphold the complaint.",Lloyds Bank PLC
DRN-3950234,Mr E,Lloyds Bank PLC,Banking,Reduction of credit card limit,Credit card,"Credit limit, reduction, unfair","Credit limit reduction, Communication from the bank, Financial review",,,Do not uphold,Danielle Padden,27 March 2023,Unfair reduction of credit card limit by Lloyds Bank PLC,He had more than enough to repay the borrowing and had never missed a credit card payment.,Reinstatement of the previous credit limit,"Lloyds Bank reduced Mr. E's credit card limit without prior notice. Mr. E complained that this was unfair as he believed he had sufficient means to repay the borrowing and had a good payment history. Lloyds explained that they regularly review credit limits and based on their assessment, they found it may have been difficult for Mr. E to repay the amount he was borrowing. They also conducted a financial review in January 2023 but were unable to increase the limit due to adverse information on Mr. E's credit file.",The Ombudsman agreed with Lloyds Bank's decision as the terms and conditions of Mr. E's credit card account allowed the bank to change the credit limit at any time. The bank followed the correct process by informing Mr. E about the reduction on the same day and providing a reason for it. The Ombudsman also acknowledged that Lloyds conducted a financial review and explained the reasons for not being able to increase the credit limit at that time.,Lloyds Bank PLC
DRN-3955763,Mr D,Lloyds Bank PLC (Lloyds),Banking,"Lloyds acted irresponsibly by allowing him an overdraft and increasing his limit to £5,000 when it ought to have known he had a gambling disorder.",Overdraft,"Overdraft, gambling disorder, irresponsible lending","Affordability of overdraft, credit checks, financial difficulty",,,Do not uphold,Caroline Davies,28 March 2023,"Lloyds' decision to approve an overdraft and increase the limit for Mr. D, despite his gambling disorder.",Mr. D believed that Lloyds should have recognized his gambling disorder from his account activity and acted irresponsibly by approving and increasing his overdraft limit.,Mr. D wanted the Ombudsman to find that Lloyds acted irresponsibly and to provide a remedy for the financial losses he incurred as a result.,"Mr. D had an overdraft with Lloyds Bank. The overdraft limit was increased several times, reaching £5,000 in March 2018. Mr. D closed the account and paid off the overdraft in October 2018. He complained to Lloyds that it was irresponsible to approve an overdraft for him considering his gambling disorder. Lloyds said it carried out credit checks and did not find any evidence to suggest that Mr. D would not be able to repay the overdraft.",The Ombudsman considered the evidence and concluded that Lloyds did not act irresponsibly in approving Mr. D's overdraft and increasing the limit. The Ombudsman noted that Lloyds carried out credit checks and that Mr. D's income and expenditure appeared to be sufficient to repay the overdraft. The Ombudsman also noted that Mr. D was able to pay off the overdraft within a reasonable period of time.,Lloyds Bank PLC
DRN-3958385,Miss L,Lloyds Bank PLC (Lloyds),Banking,Lloyds Bank PLC (Lloyds) acted irresponsibly offering her an overdraft and allowing her to increase the limit rapidly in a matter of months causing her financial hardship.,Overdraft,"Overdraft, affordability, financial difficulty","Overdraft lending, affordability of overdraft, financial difficulty caused by overdraft",,,Satisfied that what Lloyds UK Plc has already agreed to do to put things right for Miss L is fair and reasonable in the circumstances of this case,Caroline Davies,28 March 2023,Overdraft lending,Allowed an overdraft at a young age and to increase her overdraft limit was irresponsible and unaffordable for her and led to financial difficulty,All interest and charges to be refunded from when the lending started,Miss L complained that Lloyds Bank PLC (Lloyds) acted irresponsibly offering her an overdraft and allowing her to increase the limit rapidly in a matter of months causing her financial hardship. Lloyds didnt uphold Miss Ls complaint. It says from the information Miss L provided all overdrafts were affordable and all applications passed its internal and credit checks. Lloyds believes the overdraft was manageable as the statements show it was non-essential spending that caused the account to become overdrawn.,The Ombudsman agreed with the adjudicator that when Miss L took out a loan in November 2018 to pay off her overdraft that ought to have been a sign that she wasn't able to manage her overdraft and was having to go into more debt to pay off her existing debt. Lloyds has already agreed to settle Miss Ls complaint from this point and in-line with what I'd expect.,Lloyds Bank PLC
DRN-3974030,A,Lloyds Bank PLC,Banking,Errors made by Lloyds Bank PLC when switching its bank account leading to inconvenience and business disruption.,Bank account switching service,"Bank account switch, Error, Inconvenience","Account setup issues, Communication issues, Financial loss",1000.0,,uphold,Michael Crewe,10 April 2023,Errors made by Lloyds Bank PLC when switching its bank account leading to inconvenience and business disruption,Loss of business due to being unable to accept card payments and inconvenience caused by the delayed switch.,Compensation for financial loss and inconvenience,"A applied to Lloyds to switch its bank account. There was a delay in receiving the card, PIN, and paying in book due to an error in the address linked to the account. A claims that Lloyds told them not to take card payments during this time, which resulted in loss of business. Lloyds offered £150 and to cover call costs as compensation, but A is seeking £1,000.","The Ombudsman found that Lloyds was at fault for the delay in providing A with the necessary items to access its account. However, the Ombudsman did not find evidence to support A's claim that Lloyds told them not to use the card machine. The Ombudsman awarded A £400 in compensation for the inconvenience caused.",Lloyds Bank PLC
DRN-3975164,Mr T,Lloyds Bank PLC,Banking,"Lloyds Bank froze and closed his account, withheld his money, and added him to the CIFAS database following fraudulent reports.",Bank account,"Account closure, withheld funds, financial loss","Account management, customer service, financial distress",30000.0,,uphold,Hayley West,20 March 2023,"The freezing and closure of his account, the withholding of his money, and the addition of his details to the CIFAS database.","Financial loss, distress, and inconvenience caused by the bank's actions.","Compensation for financial losses, distress, and inconvenience; removal of CIFAS marker.","Lloyds Bank froze Mr. T's account due to fraudulent reports, then closed it and withheld his funds. Despite evidence of the reports being false, Lloyds did not take appropriate action to protect Mr. T's account and caused him significant distress and financial loss.","The Ombudsman found that Lloyds Bank was entitled to review, block, and close Mr. T's account based on the fraudulent reports. However, the Ombudsman also found that Lloyds should not have withheld Mr. T's money and caused unreasonable delays in returning it. The Ombudsman awarded Mr. T additional compensation for distress and inconvenience, as well as reimbursement for call costs.",Lloyds Bank PLC
DRN-3978600,Mr K,Lloyds Bank PLC,Banking,"Failure to process an online payment to his mobile phone provider, resulting in a risk of his mobile phone contract being cancelled.",Online payment service,"Online payment, Mobile phone bill, Payment failure","Payment processing, Customer service, Mobile phone contract",,9 April 2022,opposite,Thomas White,20 April 2023,Payment not processed,Risk of mobile phone contract cancellation due to payment failure,Resolution of the payment issue and compensation for the inconvenience faced.,"Mr. K made an online payment from his Lloyds account to pay his mobile phone bill on 9th April 2022. However, he received a call from his mobile phone provider on 13th April stating that the payment hadn't been received and his contract was at risk of cancellation. Despite contacting Lloyds and attempting to resolve the issue, the payment only went through on 19th April.","The Ombudsman found that Lloyds had authorized the payments and there was no evidence to suggest that they had stopped or declined them. The issue seemed to be with the mobile phone provider not claiming the payments. Therefore, the Ombudsman concluded that Lloyds was not at fault and could not be held responsible for the problems Mr. K experienced.",Lloyds Bank PLC
DRN-3989074,Mr S,Lloyds Bank PLC,Banking,Lloyds Bank closed his accounts but wouldn't provide a reasonable way for him to withdraw his account balance.,Bank account,"Account closure, withdrawal of funds, reasonable access to funds","Account management, customer service, access to funds",1500.0,February 2020,not upheld,Andrew Fraser,31 August 2023,Difficulty in accessing funds due to account closure and restrictions on withdrawal options.,Lloyds Bank's inflexibility in allowing alternative methods of fund withdrawal despite the complainant being abroad and facing challenges in traveling to a branch.,The complainant wanted Lloyds Bank to send the funds to his alternative account or provide a cheque so he could access his money.,"Mr. S, a customer of Lloyds Bank, complained that the bank closed his accounts without providing a convenient way for him to withdraw his balance of £1,500. Lloyds required him to visit a branch in person with proof of identity and the origin of funds, which was challenging for Mr. S as he was living abroad. Despite his requests for alternative withdrawal methods, such as cheque or online banking, Lloyds insisted on the branch visit. Mr. S argued that other banks offer more flexible options for accessing funds from closed accounts.","The Ombudsman acknowledged that Lloyds Bank has the right to decide who it deals with as a customer and must follow the process outlined in the account terms and conditions. The Ombudsman noted that Lloyds provided the required notice period for account closure and that its requirement for Mr. S to visit a branch to verify his identity and the source of funds was reasonable. While understanding Mr. S's frustration, the Ombudsman concluded that Lloyds had treated him fairly and reasonably, in accordance with the account terms and conditions.",Lloyds Bank PLC
DRN-3989977,Miss D,Lloyds Bank PLC,Banking,Lloyds Bank PLC's refusal to refund money she didn't withdraw from her account.,Cash deposit and card payment,"Fraud, Missing card and PIN, Unauthorised withdrawals","Liability for unauthorised transactions, Investigation into fraudulent activity, Customer service",8000.0,17 May 2022,Do not uphold,Michael Crewe,11 April 2023,Unauthorised withdrawals from her account using a card and PIN that she had not received.,"She believes that an unknown third party intercepted her card and PIN and made the withdrawals, and that Lloyds Bank PLC should be held responsible for the loss.",A refund of the money that was withdrawn from her account.,"Miss D deposited £8,500 in cash into her account on 17 May 2022 and ordered a new card and PIN. She contacted Lloyds when she hadn't received them and was informed on 13 June 2022 that £8,000 had been withdrawn from her account using that card. She raised a claim of fraud, but Lloyds refused to refund the money, stating that it found no evidence of its liability and that there was no explanation for how a third party could have taken the money.","The Ombudsman considered the evidence provided by both Miss D and Lloyds Bank PLC and concluded that it was most likely that Miss D herself, or someone known to her acting with her authority, had made the withdrawals. The Ombudsman noted that the withdrawals were made in cash and using the correct PIN, and that there was no evidence of any unauthorised access to Miss D's account. The Ombudsman also considered the CCTV footage provided by Lloyds Bank PLC and found that it was not of sufficient quality to conclusively identify the person who made the withdrawals.",Lloyds Bank PLC
DRN-3993205,S,Lloyds Bank Plc,Banking,Failure to pay the agreed rate of interest on a client account,Client account,"Interest rate, Client account, Bank of England base rate","Bespoke interest rate arrangement, Change of interest rate, Notice of change",,,Do not uphold,Laura Colman,30 March 2023,The complaint relates to the interest rate paid on a client account.,"The complainant believes that Lloyds Bank Plc agreed to a bespoke interest rate, which was linked to the Bank of England base rate minus 0.15%, and that Lloyds is in breach of this agreement by refusing to pay the agreed interest rate.",The complainant wants Lloyds Bank Plc to pay backdated interest at a rate of base rate minus 0.15%.,"The complainant, a company referred to as S, opened a client account with Lloyds Bank Plc in early 2018. S alleges that Lloyds agreed to pay interest on the account at a rate of Bank of England base rate minus 0.15%. Lloyds disputes this, stating that the interest rate on the account was never linked to the Bank of England base rate and that it has the right to change the interest rate as per its terms and conditions.","The Ombudsman considered the evidence and arguments presented by both parties and concluded that Lloyds Bank Plc was entitled to change the interest rate on the client account and that it gave S adequate notice of the change. The Ombudsman also noted that even if Lloyds had originally agreed to a bespoke interest rate, there was no evidence to suggest that Lloyds promised S that the interest rate would always track the Bank of England base rate.",Lloyds Bank PLC
